z,vz_mean,vrz_means,evrz_means
-550.0,-7.943673,-612.3648976965615,306.0555673375015
-530.0,-7.943673,26.262140238929,279.6832253222596
-510.0,-7.943673,-32.11772430781613,224.51380635539516
-490.0,-7.943673,-58.85516347638485,159.901274081197
-470.0,-7.943673,39.79587728295539,124.460487175327
-450.0,-7.943673,-88.64949852306243,119.84244666841343
-430.0,-7.943673,-119.90776909523957,111.84355451024285
-410.0,-7.943673,117.47133949923008,112.19497840964137
-390.0,-7.943673,-109.01754345435171,95.97640257932173
-370.0,-7.943673,-182.51138672979823,93.80152319328384
-350.0,-7.943673,-4.680281032994317,89.11749107470362
-330.0,-7.943673,-59.74862156560629,88.09902011825334
-310.0,-7.943673,-128.45884879370186,84.71464185386202
-290.0,-7.943673,-88.45986588717574,89.03053977713876
-270.0,-7.943673,-28.33605303774089,83.00903567117957
-250.0,-7.943673,-186.05713131118,80.39793550379903
-230.0,-7.943673,-44.22446262449912,76.364460759208
-210.0,-7.943673,70.0246401906494,73.48991771665376
-190.0,-7.943673,-14.89099951521301,67.90725953469618
-170.0,-7.943673,-39.94844197623847,64.81611567639163
-150.0,-7.943673,-105.40132192650447,61.71738154377638
-130.0,-7.943673,-15.588921557559312,58.5580276233631
-110.0,-7.943673,1.2712766119469052,54.36178559047694
-90.0,-7.943673,39.16274646940342,52.72029348533853
-70.0,-7.943673,120.61421388145412,49.11396930022446
-50.0,-7.943673,48.56079720945718,47.621783041828
-30.0,-7.943673,20.86978544113436,47.4647215223086
-10.0,-7.943673,-8.472405019932971,42.233339147144164
10.0,-7.943673,62.844818240411655,43.72617850500739
30.0,-7.943673,-10.76229080852124,46.461313081648186
50.0,-7.943673,38.95348772596746,48.78233333949662
70.0,-7.943673,12.137278844996665,50.19907945724008
90.0,-7.943673,57.463118090061755,49.21633677411628
110.0,-7.943673,3.954324518023517,52.53153989179936
130.0,-7.943673,-75.92487138495682,51.69278660528714
150.0,-7.943673,-3.958864038297738,56.685252069997375
170.0,-7.943673,-20.636538797094776,60.870893189595314
190.0,-7.943673,-55.349355756866615,61.71773061584591
210.0,-7.943673,21.037816998387328,66.98726994738739
230.0,-7.943673,-49.06759000457627,66.87524591041775
250.0,-7.943673,138.5627645997236,76.77293671574874
270.0,-7.943673,71.01134284146049,82.0646948887471
290.0,-7.943673,33.893988272154004,80.33468235303475
310.0,-7.943673,118.8878608875859,86.2223167089084
330.0,-7.943673,139.40016493303202,93.50324755918516
350.0,-7.943673,-21.03254185745355,103.50684329437388
370.0,-7.943673,35.9428547385132,117.48288697009596
390.0,-7.943673,65.27606178542335,112.01940777318131
410.0,-7.943673,170.52209164444423,122.27888074080083
430.0,-7.943673,16.446559025121516,131.06515994526507
450.0,-7.943673,19.41146264301225,141.30807110921916
470.0,-7.943673,117.5113457451168,156.93785098427
490.0,-7.943673,160.9312572735178,178.7324113975324
510.0,-7.943673,-149.06429573429276,185.45508155326627
530.0,-7.943673,421.3879832474962,222.22063774231776
550.0,-7.943673,-134.4895172313128,310.8469873864056
570.0,-7.943673,-379.2673079119388,413.9121305003698
590.0,-7.943673,-195.1495109902425,537.7414721221415
