z,vrz
4.742915592584687,2114.578198698961
4.421414977529015,-453.05733799475183
1.9449529875774996,555.5217592339818
73.90445246970253,-421.11214679386813
56.46980937833529,229.24574332201686
35.552703223638375,-906.777895812616
85.04889278399467,-182.66943851628386
63.9238554223003,3249.7356385642365
76.86638908082395,465.93892373088704
54.172316087762105,-157.38497420871047
45.48099916582338,-384.35363857434993
89.67664700986298,-466.8427363256734
-21.792914937636475,673.0849218137553
56.27205937215377,-504.56741298435617
94.01821438855896,-178.76004448329778
68.4511393463016,-0.660844382348374
84.23771648423673,2138.9820423168408
71.95932841689333,-204.08255868835042
79.68792140782654,188.03550710754544
57.06842440539202,-307.5976274246334
67.77541024191231,1373.120026409052
47.224775479463645,-459.9728238081735
43.019402347472855,-1322.834607112672
66.5150576593845,-167.7085687318508
102.75308968011953,-1935.9772214010138
58.081844982872944,-2398.5789560732874
76.99433866006336,-330.5866580661817
99.5210512820261,1466.1281627193537
112.48449988558184,-57.604778157264214
-29.565996229432223,1928.3014203030916
62.8316190669014,-535.3105211988607
55.00077467850252,87.69089326673861
100.69403067813641,-2974.6965778795397
66.53267274531368,549.1926578834685
64.29235826209168,-127.08649434753264
87.83941981009215,609.583476470864
-19.282942981032612,-5621.428873924656
79.30091733630007,-38.86707639733603
47.774608876004386,-83.58975690206458
104.94337179381606,-265.770582448804
84.40027221677313,752.7621992462052
32.41323440132776,-341.5484653387328
73.06691030835621,-272.5027540115154
112.70446136228746,638.4241162432521
68.58397249667911,-1024.671775792934
116.21993500552493,-104.28536829648328
111.61120279153128,99.86450331675523
90.81463771984743,-763.6755902782778
64.54600188475536,997.8791325820714
57.07693393082021,-531.1526157525334
80.7275493897225,-546.7956214579531
61.14084050876585,-328.84872826452045
85.93989248420827,3.4761072334938317
87.06594727479256,52.02787581933754
76.56905853151883,451.9687533999719
81.0816637051175,366.2716159237892
68.957814859713,-42.30229762878874
41.24346719742639,-78.73529512481349
48.21697351066347,-53.53026591687164
-1.4716328439943123,436.182108086136
71.07193771371806,-254.66625201874731
49.85936457770264,-638.4974725447505
42.46978435473271,367.2777045588993
-35.482229561719386,-6997.775652935695
89.52902295396002,113.62084902869805
57.64456281796395,80.8244384583364
107.3987701079963,5.403921634427394
107.36900913468693,20.228684433432086
108.27135269926623,-23.08592711090704
92.05679981457635,1593.8919580761408
101.08210632346822,14.138844710374702
122.11558886311565,-1182.8235043510954
90.64322864329111,3228.2909163967297
-27.704042076785505,1035.6395411799783
82.09978100991974,-85.32910320322088
107.16885010611182,217.2593976635834
84.05035125852167,-30.141477865138373
109.20822401574702,6.085743040002337
97.55586881568895,-3167.8566924759466
87.35521979547144,559.908908867805
81.79825993685627,31.148451375907126
72.10959842989807,-2404.1405239758724
-25.02834338998877,2054.6696435549998
86.1835203977743,-91.9274738169584
79.16494376111766,-339.51840571732197
-16.777736590082835,6034.351695858524
55.11653034679364,-80.2102931729635
69.15442952209841,667.3823351618494
113.42433829198345,316.5305513278811
86.48066272835533,601.541106195685
85.84469019036887,80.58179192459058
101.65430210382038,34.86275383248016
49.91024752648199,-300.61680341219704
74.69584386683908,417.97686558276513
83.62120260921847,-102.11462134990674
120.7500931065785,-1239.4192759168345
54.250463439786536,553.7649839698508
55.51239506221456,-4119.28127479193
82.95686593182951,961.071540909106
58.57537662175183,-75.36744435793517
-28.069255911587383,-440.33591605210916
101.50552990962045,-14.69590845627762
113.42276349127116,-670.289812391031
-26.151937407987305,-2491.430425677395
94.14483472127007,-357.57927272592474
116.92367018996481,-115.63794233030295
57.73932731776216,403.50251554375853
72.18597891285117,-254.9575587213468
60.4852245732366,-131.47231330785166
104.83347983550084,-1816.4007787419619
88.40979789979203,147.80713717194365
88.22594199167328,731.5703928482694
-27.3310639551526,-549.7395521195917
59.77426641690165,-144.16509978804186
113.6098550932934,2476.6102755492766
88.86749816228225,-236.0229667747561
107.50393310334486,-115.86174503825364
93.82932149409378,-7.792846224492332
91.00494947913847,-869.4132631385781
98.3383261993724,160.30489578561225
62.082358107562406,485.2052073222777
45.90469094687192,-74.03740464967487
46.83843039205803,6.162923736189178
80.67420068403574,1712.0043366278342
88.17070585466864,3279.5105238091655
50.96295889706445,-132.72837303850616
105.44771276899267,21.02727572111265
61.48613797475293,-2818.231484247992
44.18060204977044,537.3952058047377
60.16629646424049,-311.533002240551
82.9569255942391,949.7423627376872
47.3115791334884,-192.65641636165512
95.95288265307306,-466.5500074236904
65.90377105641971,1652.1020194627486
67.93376801679729,889.7361503489004
39.90755840074019,-290.1850290060849
75.87763823960614,444.06513844001665
106.70798030089232,1308.4335272869753
-36.990969620010866,-1390.3732373713785
118.00216579134681,-821.1656268022324
93.71266407379343,3727.859694970431
116.71416852939363,526.2789367501293
55.55126604679158,-571.2116067724587
53.402495154796696,258.6411718857646
55.97813006633633,-170.16090781209516
112.59844614701049,-202.41682568591378
74.26319768582735,-771.0410606589811
38.03195393102667,116.44320535899776
59.73358581542073,-153.11947639675674
50.674036061887044,214.42736807267377
98.51834889432537,476.25680957935623
95.32910785310293,1040.5895516523894
108.18965919987843,675.3074537232421
-19.651007427876834,1011.4831614254106
61.23788044622437,470.4977892661247
111.57189485246707,1129.4747161459366
47.07124136229851,-2045.2672440424685
106.52078730819814,-3269.8930563858644
-25.407184346610094,-704.8231761043186
104.04566174608499,-537.8474758835241
96.96246533061255,-39.65595987776217
-23.024500679471927,-657.5988494911338
63.56952921695363,-146.27825977204617
103.73063644557106,571.0953580684652
113.05049026358289,-132.21376268276094
-26.029321356530865,1632.6727104047939
111.69154739979088,831.5606701972803
110.59927252148834,2029.5236031085585
104.17708432917311,608.1115498584588
85.46547203822497,132.7843047782395
42.99662652153617,180.36921992261998
56.03525977333911,-106.79642877372814
-17.4202625803094,5585.166189800703
99.63739697601257,-250.90141220646032
32.03645336224668,-682.8681017962726
75.98868667361296,173.14810655130802
61.49740157184592,174.70586666704915
63.56783364226171,-309.01113790771217
42.00453379999914,274.12073891621264
80.9232280956757,-205.61844167971708
73.75935849795843,-851.4190762034617
48.420975992525136,2920.703790985486
107.70381151352107,-977.5578661936111
45.62540340577894,960.1772610441603
114.0792497330157,-46.760977295030266
68.00923890473402,1433.0369348968204
51.039057131289624,288.5831538629452
34.42842735348816,-69.8459978263631
61.8594381678788,626.5689510547439
109.15563915672543,957.2540047234125
56.17853358352365,-2067.933107877944
94.8803696887376,-101.5073629563509
81.39778113493162,-1991.1172400323635
-26.93618343586367,1647.1960029882484
61.741729377284926,-559.1830835930181
103.23972565625444,-139.1835469574143
97.38514422141157,-960.4073626932717
81.30414770274686,-1552.3543265165497
105.05276442278466,-272.1632788805396
104.8633714461087,-289.04243035935656
85.30300630863762,-228.9202263934271
-26.16844502170001,-1774.3437033549649
-36.661117246811855,717.7581414505728
60.19119724629967,219.22444472846263
23.60726995368122,355.7562980767714
67.78499775401534,-243.57237482500275
74.72621279539439,880.7889869207778
100.59119430542029,-369.5608574153493
24.301806036096288,3896.1382635801792
56.41092269738197,357.4967276683437
79.48875080643579,-52.14754111968871
34.54842180876875,3866.7685714082045
96.66332135003687,-588.6620464884079
39.607047997503685,-922.6935965056051
31.85625452999121,286.61544491109663
41.500217120389024,5791.170476653279
31.0839465035729,-1418.885603333681
31.169645157135133,2475.6448972087705
38.79633617996842,-1194.3502929376828
34.72330526775232,899.328528424863
-11.521068876785357,-719.7775707203798
51.01267592185496,-949.5225839015087
54.7787342708222,-1048.1394322839735
48.350316566158064,1857.3885044712904
2.2233277195668926,1756.5550695046347
-5.619569641422093,1001.9389696920582
4.810598796398287,-4725.532231028655
-5.748021029302624,-1126.490582610208
50.447646647806096,-2066.843647311771
56.41946027497078,-2761.9011309178595
-11.039390504083936,1107.0893510311087
-15.103312941920656,5712.729136871362
-12.226871272635172,579.2647528229817
45.6790900975313,-2361.5838219622633
4.46762494091452,533.3453817428366
-7.546366037818867,7134.7508706259105
19.47150423716506,65.77493787142714
16.11272988461376,-949.0548642157717
7.638362046726736,-1811.1071977171432
21.851914857532478,-1572.8963659220215
8.501534875706712,2425.743229245591
22.198444190128498,-219.50241065038253
21.04681105580809,-60.846054582594824
4.475264637488708,556.323642689354
2.1280402513405914,-709.5517694941083
15.03238521010491,313.6795791869504
6.458525293720159,759.8037567710174
20.456527316891634,14.552914039151847
15.365542829654746,-54.93706086170373
20.411123134818176,-25.39013367828747
18.067778486237998,164.7769023732184
6.804219405494467,5833.482038898368
32.384024803159605,-3682.1950912168654
-0.691944656081013,-3592.8986924430465
15.064515224885689,-192.0722804361745
8.73456425079672,-1093.265146106075
16.6111591291006,270.18375828406283
32.123349432764556,-1498.5492635781468
-16.18776067366925,2857.284733338411
-7.920698312137372,-3730.6380284340094
-3.981547600060285,-1546.7674276923199
-28.8169433823549,-370.84425229884613
-14.899100740531278,1480.8535952713291
39.04301168807886,-4080.5277762157148
-19.413681260720807,-761.9587316599722
-15.357165904467415,6273.657345033602
-10.453325808042177,-12.615757155149499
40.510829551587236,8353.215911842608
37.64655067909279,196.24162256134633
9.476957030750869,1306.2068513449115
-19.2742578095205,-6149.126661080382
-31.457076981390294,-355.4761698577123
-24.27310447715122,2963.0529091054127
36.05731600594813,154.06667620347048
37.55166156109314,5035.334852293199
30.888143491412194,-3242.3144133635146
-17.990915502459792,4933.728933872235
54.7877008290237,6560.285164441051
33.70655984339809,2332.6398830803614
33.698607680664466,2222.9838776330507
44.3575913851414,-2075.2237994241223
57.58485357773324,7093.0564027605715
57.85106197176441,7331.985594800227
52.6460639274723,1417.670821844786
49.782907574668364,1430.4706797081412
0.2241468662459063,2932.4962359016486
52.51461829099365,1463.210156397601
46.62652387365614,-567.4833755564255
62.81303621502093,-4349.877704001964
-0.24205571909876333,-137.07988857488056
61.79378680471313,5104.85443263212
-4.347423607539362,752.8713833866299
42.13426354591218,-2661.494005996312
33.94485330145591,-199.8190351649668
-24.187914900210032,989.0398659922475
48.154767439188554,4862.0740559943515
50.83598826660579,3694.7800092119037
58.63487179209437,1922.5014663594
40.94718353677406,-1274.547608141638
-0.32768143946956485,-317.37656771155855
-2.7257460070148873,1411.9375897159578
41.39631560984422,-847.5274848711057
63.91070178564059,-15016.22393862939
8.656753847652155,613.0156761294056
2.9374662895691976,605.7658362992833
9.165451889895188,827.846497812612
4.407255744388719,-1564.4975647972055
7.702729967999558,-2244.916118368647
3.0885524540078944,-2879.5781233540274
0.6578200988490757,-250.54000986640426
41.28257443598775,3744.651330015439
7.483973987278304,831.9609200578823
5.034577193533968,-582.8518798147459
11.312257390057946,600.0843667718541
5.228605248268163,415.8140621429037
3.7425050732193093,-1248.399043471057
7.457677956503373,-207.16998637823428
1.1003902641898407,-1151.282522660847
-5.352665086359231,940.8459969459066
38.93584575782492,-8617.120596476709
-1.610221467979155,522.3692978733455
1.5675644745014736,-487.6462431180313
3.8293727683802334,6398.9770054294695
39.659436584150434,-450.3221181324513
0.9001939421119562,2190.4145948162904
12.158244872316866,3622.0466631923837
2.509502848535032,-666.1444397010969
11.476098310487952,711.908876401254
30.845615162570073,8097.621826662184
-7.0682342331152235,-484.5912352135916
4.8657173292306535,711.3079047270758
-4.076578705367929,-4643.514399494972
35.27325002298204,1854.0772839136864
55.39565549651194,-761.6604599370154
-7.216246205397205,-2108.961923797695
13.63868314106405,-1078.118976055782
8.633310718859137,1622.4882574667984
34.73370615103943,9204.879805454922
1.4517291999278505,98.49806802857314
-6.653189389182067,-1655.4816928022644
42.81873478077928,-272.3018252102983
48.188045624386874,-298.0519186770216
48.68897067359922,1997.0599966396649
25.666022339798037,-566.1577069700943
42.47925535591394,-3865.2185879165486
60.508411197427584,2475.160725769773
13.155102218411947,-1484.821105670868
42.61390626562495,408.3994131754633
45.52360461568457,59.05335908976176
8.773296854472404,226.9551861519193
10.929884506392675,367.0518692768763
39.68411582961099,-1828.559608430919
46.51756164379884,-3650.5273354914716
7.581889478982972,2513.4822642901026
57.72230308146142,839.2428719647271
12.564871959798369,940.1701926014847
54.40142880551659,-8463.509374317533
8.460015866481104,322.5996760348902
11.116470724530492,-2416.2672713036995
33.87532331142252,-6132.5315130670115
46.43255818169739,4017.8002546059784
11.60215650238316,1071.6535842479866
53.70392329419872,760.1379522658298
63.136671802047566,-2792.6852149544548
1.2867373003118932,-390.5173379397908
12.36020103413577,-5070.142151222156
51.715256305831716,5634.184351019304
43.96263289629698,-3347.826601655129
52.45007478415975,-4492.353035242709
39.87694597136448,-507.4859890905414
4.19964662063648,2009.2176068110377
49.35554855829456,-1724.0724132305006
22.779017447996534,3656.702782526765
13.27185323965958,2011.9792373248872
-20.334483342550158,-2431.891435333322
-11.58146879594295,-8819.51492470857
-31.090488883995576,-4664.635901278871
-6.767300928542525,1952.7950289316123
57.38182932288487,-36.87264684509191
-25.701634505781954,1840.057292798757
-18.293153005441994,4322.362935400556
13.279990469439461,-4223.630931383421
-9.264337059669387,-6673.199141989546
4.561999275425256,1320.275584690149
42.94833185703186,-8249.894194508832
13.351644977495278,1476.8899813180801
-21.19928945173384,-4912.49057261722
-29.756964730885272,4519.864376406192
35.20908602340475,-1088.1032679827165
38.20970158105631,-1944.4554171049726
-17.317056507236572,8132.034915626947
-26.85042254113784,-1324.146945305361
51.421900408128145,-659.9473890901054
-26.854872213526235,3793.971998649687
55.55184316523034,18306.563613547183
47.05838702806348,1746.2249839873923
46.71728115441325,-1692.3460790862193
