z,vz_mean,vrz_means,evrz_means
-550.0,-7.943673,-612.3648976965615,306.0555673375015
-530.0,-7.943673,26.262140238929,279.6832253222596
-510.0,-7.943673,-32.11772430781613,224.51380635539516
-490.0,-7.943673,-58.85516347638485,159.901274081197
-470.0,-7.943673,44.393145443502874,124.14097989086815
-450.0,-7.943673,-100.2980843078593,118.26121897471116
-430.0,-7.943673,-73.98085138408217,106.0742501305194
-410.0,-7.943673,39.43773768194416,102.82074889556586
-390.0,-7.943673,-58.304554826877514,82.50297498450342
-370.0,-7.943673,-173.93406591585187,80.21204808856325
-350.0,-7.943673,-29.768939945612853,70.62797433526202
-330.0,-7.943673,-41.87038279902239,66.38968854104542
-310.0,-7.943673,-88.6940770513732,62.902885443050465
-290.0,-7.943673,-120.02694542825539,63.06622047815095
-270.0,-7.943673,-61.651718949326806,60.02179383811745
-250.0,-7.943673,-140.29333371055893,56.720034809950775
-230.0,-7.943673,-13.241218296439262,53.32026789873181
-210.0,-7.943673,46.21934689733736,52.173234681383306
-190.0,-7.943673,-0.8677951642034585,48.683930617965075
-170.0,-7.943673,-118.95893463043083,46.62766291384564
-150.0,-7.943673,-84.16484817770298,44.78823634116073
-130.0,-7.943673,-13.140767426828896,41.282353332637584
-110.0,-7.943673,-3.221487450722366,38.27457521816009
-90.0,-7.943673,-5.846864000190901,36.879309921423044
-70.0,-7.943673,89.39853449910677,34.28088272346022
-50.0,-7.943673,37.69439135335199,33.28091571427816
-30.0,-7.943673,24.53772217494309,32.68531514328687
-10.0,-7.943673,44.62955242829768,30.609485560050782
10.0,-7.943673,61.42169635632456,30.84829644748934
30.0,-7.943673,-9.609510991032096,31.653351299465488
50.0,-7.943673,52.490348934627924,33.50764841966541
70.0,-7.943673,48.106473404860544,34.14875553459569
90.0,-7.943673,63.86616095226549,36.04324230574492
110.0,-7.943673,-10.828285020612688,35.98829698294362
130.0,-7.943673,-56.24953324949811,38.65039094625471
150.0,-7.943673,3.468599346756928,39.5022059283506
170.0,-7.943673,-10.100200907618829,42.570745946802475
190.0,-7.943673,-29.412128922530428,44.00347259114281
210.0,-7.943673,49.286248303891306,47.78139569861081
230.0,-7.943673,-84.55891804727135,50.09865620392951
250.0,-7.943673,71.59492655151945,53.000289798321845
270.0,-7.943673,27.479338471693577,58.54001329566931
290.0,-7.943673,-10.941855600014883,59.180212732461456
310.0,-7.943673,132.12296156452982,66.38123131617105
330.0,-7.943673,36.42411070366048,68.20842235390226
350.0,-7.943673,35.00199021052054,77.05322239702885
370.0,-7.943673,37.22065843262556,88.62976428014134
390.0,-7.943673,54.28918591238562,93.31257236705238
410.0,-7.943673,70.13796806833687,101.39052900009358
430.0,-7.943673,43.79619506143473,117.00787136904748
450.0,-7.943673,19.771674988039337,135.67708052987354
470.0,-7.943673,100.4072938983231,154.92617780740042
490.0,-7.943673,176.28356249166492,176.39509395176188
510.0,-7.943673,-149.06429573429276,185.45508155326627
530.0,-7.943673,400.5322331409803,222.6629749261373
550.0,-7.943673,-134.4895172313128,310.8469873864056
570.0,-7.943673,-379.2673079119388,413.9121305003698
590.0,-7.943673,-195.1495109902425,537.7414721221415
