z,vz_mean,vrz_means,evrz_means
-430.0,-7.943673,483.8837270523617,309.8527840287877
-410.0,-7.943673,-336.8407953528648,255.16667159344547
-390.0,-7.943673,95.67517289320293,160.9803593173085
-370.0,-7.943673,-157.88975707940858,149.09564771245115
-350.0,-7.943673,-65.51472830783929,114.91394402455926
-330.0,-7.943673,-19.897527430770868,100.8716727943548
-310.0,-7.943673,-45.70813664835311,93.52435233089655
-290.0,-7.943673,-153.4373580812229,89.28414319844528
-270.0,-7.943673,-95.57486821246762,86.77126823924573
-250.0,-7.943673,-92.0491134757578,79.93770673985775
-230.0,-7.943673,21.97724698654607,73.78357042846926
-210.0,-7.943673,19.749500480173683,73.91217942005213
-190.0,-7.943673,13.34153438676259,69.79955603695872
-170.0,-7.943673,-200.6920110680658,67.07116831296217
-150.0,-7.943673,-62.61958234531018,64.96249008646481
-130.0,-7.943673,-10.612067325603567,58.177859619723385
-110.0,-7.943673,-7.797959853825138,53.88038975109057
-90.0,-7.943673,-52.72501965638201,51.50158577833641
-70.0,-7.943673,56.709414289466146,47.74340706966134
-50.0,-7.943673,26.71385788266872,46.490394649089076
-30.0,-7.943673,28.209694042672425,44.94614997261466
-10.0,-7.943673,100.19723557272312,44.37789949897674
10.0,-7.943673,59.99020316703695,43.52417638302077
30.0,-7.943673,-8.438041487785984,42.939042834123434
50.0,-7.943673,66.33819613085207,45.873970808905796
70.0,-7.943673,84.92248557379094,46.199598243945736
90.0,-7.943673,70.40816801682095,52.73805935374027
110.0,-7.943673,-25.831586351450163,49.14849421970037
130.0,-7.943673,-35.84029155602541,57.66225495729231
150.0,-7.943673,11.297857505346242,54.896376180647934
170.0,-7.943673,0.6521439089762168,59.49477144904236
190.0,-7.943673,-2.157283745183433,62.74760290492519
210.0,-7.943673,78.46833260411985,68.16972647174806
230.0,-7.943673,-120.60950338033616,74.71898415437504
250.0,-7.943673,5.561251893700031,73.11163357612948
270.0,-7.943673,-16.031676503488082,83.49357229051829
290.0,-7.943673,-56.58244538783808,87.0186060766829
310.0,-7.943673,145.30548238634395,100.89788939179194
330.0,-7.943673,-75.9134030011085,99.59480940932009
350.0,-7.943673,96.72552438921261,114.96102620122578
370.0,-7.943673,38.80914854999893,134.88913677843277
390.0,-7.943673,35.96336419474358,164.5202746363844
410.0,-7.943673,-159.06608595239496,180.89651190087585
430.0,-7.943673,147.53288472899467,259.48319253453565
450.0,-7.943673,22.62402311273518,460.58966719899996
