z,v2
56.46980937833529,8.02198466242881
35.552703223638375,196.21906937726814
63.9238554223003,1645.8200140094548
76.86638908082395,476.221771500577
56.27205937215377,55.057611208111155
94.01821438855896,21.20119433676957
71.95932841689333,482.67895236078573
67.77541024191231,321.80466290716083
47.38767794385625,448.18599255398425
47.224775479463645,51.482773908091815
6.4897932620545316,600.0491194575271
77.82182783036495,4.534052825745279
66.5150576593845,25.72230155395189
58.081844982872944,691.5687649388848
-29.565996229432223,71.73764512681619
55.00077467850252,22.1070914079219
87.83941981009215,97.1049502199579
-19.282942981032612,574.2053532928564
79.30091733630007,1.952768541926681
32.41323440132776,28.993070282121124
120.27024707196804,281.2102734075449
112.70446136228746,94.68061983672983
68.58397249667911,284.2051849440251
82.83830083572013,676.7680916879851
111.61120279153128,1.3295358151419199
90.81463771984743,474.6400065738374
64.54600188475536,1711.9101620447311
80.7275493897225,583.3153752730279
93.04184349113493,83.27837373315357
99.87513000962083,97.72514865412373
85.93989248420827,1.0323582779746967
87.06594727479256,0.5632775548368357
76.56905853151883,46.43115457092596
123.0679280237196,391.9683783559011
68.957814859713,5.62291933115678
41.24346719742639,5.793263867480626
75.25456294963396,2048.659041856542
48.21697351066347,0.7181957549673087
-1.4716328439943123,5.002075567883329
71.07193771371806,30.18359105470505
42.46978435473271,33.7963472316962
-35.482229561719386,823.761607330656
89.52902295396002,2.684992161078431
74.29458465443801,2935.4103381625823
91.43285710803457,2438.652978261568
107.3987701079963,643.7962401150004
108.27135269926623,0.08072825232942304
101.08210632346822,10.19936003245457
122.11558886311565,307.20605685509446
90.64322864329111,1189.27538093452
82.09978100991974,15.506559251301988
84.05035125852167,142.87396604533106
109.20822401574702,0.12231220305011742
97.55586881568895,682.4076687106558
81.79825993685627,0.37097185651929543
-25.02834338998877,102.07776780540614
86.1835203977743,1.118881791579505
79.16494376111766,12.122359966455694
-16.777736590082835,568.0464056754516
113.42433829198345,101.9029762880879
86.48066272835533,24.94244798957694
85.84469019036887,5.317285503450232
101.65430210382038,0.6182372196424446
115.77189747871759,25.474126784501735
74.69584386683908,29.693753027004618
54.250463439786536,35.654085187231544
55.51239506221456,2071.2732429199514
115.02319271980534,1036.3574404713777
82.95686593182951,164.90260099087385
58.57537662175183,1.4955839195198486
117.8888879475448,702.0746510283182
-28.069255911587383,4.375282560728354
-18.99872109593207,2082.7629443431415
-26.151937407987305,206.50646267394896
94.14483472127007,20.62645736920612
104.81377417258925,169.99862422662588
57.73932731776216,63.34085104181493
90.37194090408094,91.37492724270618
60.4852245732366,7.2629349337468305
88.40979789979203,15.019593333858282
88.22594199167328,53.72918849330734
80.4141549965225,2.46769434473338
113.6098550932934,1604.0962157462732
88.86749816228225,37.611691289198184
107.50393310334486,397.6190668121198
98.3383261993724,6.7469396234754
46.83843039205803,0.06609100648636754
88.17070585466864,1066.1405731156449
50.96295889706445,9.27815436540466
105.44771276899267,0.17120345487120467
61.48613797475293,1046.5243747747847
60.16629646424049,93.67942555824253
100.1837286700183,41.75201102433353
47.3115791334884,11.91384154974787
95.95288265307306,2362.7881423166264
65.90377105641971,300.6947169011826
67.93376801679729,861.9806593764814
39.90755840074019,103.27618944857068
98.9782775119514,1.1045978177126763
75.87763823960614,56.693287179895535
106.70798030089232,196.93263112702928
118.00216579134681,130.83472230191597
93.71266407379343,1021.7781738860626
116.71416852939363,103.17999954927939
53.402495154796696,20.329215654194353
74.26319768582735,84.54112887981806
50.674036061887044,9.44524016921872
106.52078730819814,1155.6733772922453
63.56952921695363,19.29936909300902
103.73063644557106,119.01679475963222
113.05049026358289,17.806722765955314
-26.029321356530865,47.4816029139107
85.46547203822497,5.591172528713324
46.513437528930666,399.53705121027224
56.03525977333911,14.719721040282868
99.63739697601257,87.06641161039154
69.00230143201057,11.987876128736449
32.03645336224668,22.17402878931403
75.98868667361296,178.85178920611145
63.56783364226171,915.6106770954084
42.00453379999914,512.5889206029925
73.75935849795843,294.67757726182134
107.70381151352107,80.70385558271086
114.0792497330157,190.0521847314031
51.039057131289624,995.5637889535367
61.8594381678788,290.99603979450313
-20.468545186265843,239.2009854403261
81.39778113493162,833.6141316945856
98.20944567401457,0.015953175055012633
-26.93618343586367,52.68567456912255
61.741729377284926,34.818465734270944
103.23972565625444,330.03594272422885
97.38514422141157,278.0904975089794
81.30414770274686,217.03315066994955
105.05276442278466,34.464775601312084
104.8633714461087,38.401681044259604
-26.16844502170001,70.6707215218545
67.78499775401534,13.656268414442653
97.14704034193393,2058.624966780311
100.59119430542029,32.758463104126605
34.54842180876875,392.069618659486
96.66332135003687,112.51211834887333
39.607047997503685,11.492802027878199
38.65349541837845,154.7474410174389
34.72330526775232,26.126517654454798
-11.521068876785357,10.355533779369413
62.08002916005016,282.2718140845294
51.01267592185496,10.946212311390841
-5.619569641422093,25.7273043469495
-5.748021029302624,45.916458856820654
-5.21820610736027,53.45045998171289
50.447646647806096,87.12139159530183
56.41946027497078,133.05983394686962
-9.70949998435242,122.39896733476292
-15.103312941920656,326.59747672533166
45.6790900975313,110.22557357853402
4.46762494091452,43.83407515893437
-7.546366037818867,1853.803935584687
19.47150423716506,76.14261770325535
21.851914857532478,1735.5960172160396
8.501534875706712,87.42591415186855
3.03361767869559,788.5092982239271
4.475264637488708,49.201491448284294
2.1280402513405914,59.00700880387548
15.03238521010491,95.63387808576593
6.458525293720159,76.62649572116231
20.456527316891634,22.58947377613464
6.568294151843952,37.213924725794435
18.067778486237998,2.2272819608080616
6.804219405494467,1444.1091844179068
8.205463973957404,1064.5996445776127
21.227955946464494,703.2516933061352
32.384024803159605,235.0036820559385
16.6111591291006,16.766517830838904
-16.18776067366925,178.4060984527127
-7.920698312137372,192.03211485390568
-3.981547600060285,35.579682743463465
-0.7792348367390716,98.87776668436759
