z,vz_mean,vz_vars,evz_means,evz_vars
-490.0,-7.968674,364.24959483952836,48.24603744127877,68.83670307867342
-470.0,-7.968674,627.6009365206769,60.39092827397901,85.80383359860674
-450.0,-7.968674,455.76366450503633,32.14709026262764,45.576366450503635
-430.0,-7.968674,464.6402779390463,23.467877953078702,33.23100483385038
-410.0,-7.968674,533.6666858460244,19.724888288860644,27.91427818075565
-390.0,-7.968674,628.7238691487355,18.862659231003118,26.68784194075452
-370.0,-7.968674,625.4202155347145,15.406121238054423,21.794158907299234
-350.0,-7.968674,550.5936414766259,12.342543128205127,17.459379216021393
-330.0,-7.968674,559.2905908261287,11.65441675367224,16.485413740385596
-310.0,-7.968674,576.2275070922383,11.093613051207628,15.691646316761005
-290.0,-7.968674,504.5437229356309,9.373991596508615,13.259114668455867
-270.0,-7.968674,539.4422645757184,9.631362091529468,13.62297440500422
-250.0,-7.968674,550.6595198295181,9.614932282571607,13.599640909339923
-230.0,-7.968674,529.2107762931857,9.108093078223055,12.882696882248801
-210.0,-7.968674,519.6769954059649,8.510151676940925,12.036785970474797
-190.0,-7.968674,495.49938893799845,7.986733030753464,11.296413714342126
-170.0,-7.968674,496.7369702660606,7.689574195817965,10.876003334306901
-150.0,-7.968674,480.0609014268735,7.1972258878496564,10.179558554061547
-130.0,-7.968674,423.8917424691841,6.169982853957324,8.726597908388957
-110.0,-7.968674,421.42449526706577,5.947958322767796,8.41252127074539
-90.0,-7.968674,401.2072825244859,5.519343240043701,7.806268770812267
-70.0,-7.968674,372.4689066254929,4.992504018158036,7.061101227788129
-50.0,-7.968674,373.8928747782651,4.840265340049451,6.845742546947945
-30.0,-7.968674,345.82017592007355,4.456726814257956,6.3032869681187265
-10.0,-7.968674,346.4659870845149,4.344080935853257,6.14394113281832
10.0,-7.968674,341.39313943393074,4.2838448461043095,6.058748490934028
30.0,-7.968674,340.4003722239863,4.346638715713021,6.147576631305896
50.0,-7.968674,349.4802601245901,4.475369937798373,6.329647877708672
70.0,-7.968674,369.325591623175,4.777137858042325,6.75645837662873
90.0,-7.968674,395.0563423822965,5.239087005529558,7.409839512633367
110.0,-7.968674,379.03261643582493,5.1752603050346275,7.3196056338550175
130.0,-7.968674,404.5023219431873,5.803530399708054,8.208276264921421
150.0,-7.968674,429.1566563250435,6.328945697888618,8.95145430179212
170.0,-7.968674,451.3366945848742,6.858143248038867,9.699999092373949
190.0,-7.968674,439.9227296530051,6.870438763021403,9.717452805607174
210.0,-7.968674,454.23930116439124,7.422646808257644,10.498609562045782
230.0,-7.968674,517.9939841976208,8.586846278426243,12.145303348976565
250.0,-7.968674,483.30986677670074,8.422282336646507,11.912714837591356
270.0,-7.968674,548.4392939716081,9.925791790592092,14.039488849807773
290.0,-7.968674,529.5211471353887,9.779154913723142,13.832172537574527
310.0,-7.968674,596.5797602686891,11.67745659276696,16.51758207841941
330.0,-7.968674,573.8742236496344,11.825547653782344,16.72740171689437
350.0,-7.968674,587.0092530493165,12.788295980290131,18.08967488069339
370.0,-7.968674,615.4314911634726,15.23886895768718,21.557624882426303
390.0,-7.968674,675.4773161728687,18.55678901681043,26.25317142873635
410.0,-7.968674,593.7553591473982,19.233622692692176,27.214732266643285
430.0,-7.968674,640.2773997373388,25.69344699297253,36.36531263817601
450.0,-7.968674,743.0100869035655,36.87497146163858,52.213426646553586
470.0,-7.968674,736.3230588746724,51.93622414328427,73.63230588746724
490.0,-7.968674,600.1335177553268,59.42207280633852,84.45049392060018
510.0,-7.968674,816.0952335453371,111.05649465019697,158.53235253594713
530.0,-7.968674,653.6410352488997,98.54009370454857,140.9678510209106
