z,vz_mean,vz_vars,evz_means,evz_vars
-630.0,-7.968674,1023.6817185982478,139.30543719894797,198.85751616561308
-610.0,-7.968674,630.7988437193403,62.4583925221232,88.76570353192697
-590.0,-7.968674,573.7841542407148,43.87837094281106,62.23562963426434
-570.0,-7.968674,590.6811720763943,37.06263304051452,52.517962072808686
-550.0,-7.968674,572.5089494088448,25.78450629771049,36.50183741634363
-530.0,-7.968674,574.8514135188655,22.359128601251854,31.64452883079703
-510.0,-7.968674,675.592453164862,21.353435170476356,30.21341300724949
-490.0,-7.968674,633.3467731783912,18.53984650404981,26.23054322932439
-470.0,-7.968674,596.1561485157715,15.296115015613431,21.639097289539087
-450.0,-7.968674,610.3923525720166,14.587000934924914,20.635027753199548
-430.0,-7.968674,566.930354746754,12.845033299239159,18.170284730395586
-410.0,-7.968674,593.1125190843684,12.7470045441034,18.031151425076906
-390.0,-7.968674,543.1133943627935,11.213121027541483,15.861128656196646
-370.0,-7.968674,613.1746782357351,12.760633793313643,18.050170453630358
-350.0,-7.968674,559.2623224795094,11.145195707081864,15.764817659599649
-330.0,-7.968674,538.0764268111664,10.546464179084095,14.917818457297393
-310.0,-7.968674,519.620290485153,9.93227424686666,14.048923661813527
-290.0,-7.968674,569.4640279854789,10.66329772454837,15.082824747496549
-270.0,-7.968674,537.8058437581454,9.918633696992027,14.029452458721796
-250.0,-7.968674,496.44131739263275,8.759516824477128,12.389756310070897
-230.0,-7.968674,479.9889321389269,8.239015203948702,11.653443939849728
-210.0,-7.968674,511.5831842391842,8.495762455549919,12.01647958995859
-190.0,-7.968674,476.1576670162817,7.893320802357034,11.16437542573352
-170.0,-7.968674,435.0451390775576,6.93965763568433,9.815406805551595
-150.0,-7.968674,448.4499998575046,6.966331786867396,9.853069800349555
-130.0,-7.968674,434.8954296939348,6.448027414971448,9.119890281955865
-110.0,-7.968674,392.1205674389256,5.659183411569112,8.004127565633064
-90.0,-7.968674,403.56611137807,5.560217841720196,7.864081918027594
-70.0,-7.968674,376.6553603497188,5.0337184282132945,7.119388671970747
-50.0,-7.968674,366.11149115599306,4.811844514794662,6.805563599552591
-30.0,-7.968674,357.9129838868659,4.637672844016301,6.559210495865184
-10.0,-7.968674,320.7961130233786,4.055839190927615,5.736281271314348
10.0,-7.968674,339.4104521348703,4.350701006411471,6.1533259210779425
30.0,-7.968674,358.16460302609045,4.566034675446125,6.457872959939831
50.0,-7.968674,369.9819789133618,4.801722375008554,6.791232871031141
70.0,-7.968674,372.6422968998986,4.932307743586243,6.975947599132768
90.0,-7.968674,366.8829542650052,4.959236393227628,7.0140601831088265
110.0,-7.968674,375.6210571322538,5.231612825579745,7.3993355311371305
130.0,-7.968674,379.95644408390484,5.445201146604603,7.701468219541028
150.0,-7.968674,391.12844941340455,5.867220109540938,8.298435972284528
170.0,-7.968674,444.58588955141323,6.843833720745184,9.679789428938298
190.0,-7.968674,447.3203182899256,7.092285925342233,10.031267866215709
210.0,-7.968674,441.9988564437692,7.317019527071832,10.349246442014206
230.0,-7.968674,460.44558764986147,7.9529144472900475,11.248797520170404
250.0,-7.968674,470.6051577108745,8.395635829119769,11.875111942409141
270.0,-7.968674,521.5779952464025,9.682122133927253,13.694948208335594
290.0,-7.968674,553.9732766305174,10.588913885160999,14.977722033911261
310.0,-7.968674,544.1175262572957,10.86931516347963,15.37460078200001
330.0,-7.968674,592.5309108570133,12.171296390757362,17.21644497207852
350.0,-7.968674,587.523968261853,12.845314694451842,18.170361593596372
370.0,-7.968674,633.1832306561948,14.251344229675073,20.159551207811425
390.0,-7.968674,612.968613551765,14.49621028157792,20.506472457407593
410.0,-7.968674,634.5048598697131,15.04343378538447,21.28060998427693
430.0,-7.968674,685.0692420311921,17.333806908963453,24.52155548448853
450.0,-7.968674,698.1868250998406,17.82620799520366,25.21828623292551
470.0,-7.968674,725.2077062517164,19.4726106281852,27.548362752472464
490.0,-7.968674,881.3223888042471,25.51611677802274,36.10037165882659
510.0,-7.968674,796.9704232691911,25.102208836240045,35.51750636409435
530.0,-7.968674,691.4085495715078,24.013611500535365,33.980876350347756
550.0,-7.968674,739.5320916356416,29.820812139867677,42.20732582872712
570.0,-7.968674,721.9834510807577,31.301952413177737,44.30930930717209
590.0,-7.968674,749.2799141430603,40.28153773728653,57.04919767187127
610.0,-7.968674,713.9464297974416,50.866576972467946,72.1194802733852
630.0,-7.968674,577.1370616405325,49.857048478405915,70.77308735331401
650.0,-7.968674,629.7000378891081,72.23154815532513,102.82958558930326
670.0,-7.968674,714.9301877371009,110.31612295686196,157.9016633375692
