z,vz_mean,vz_vars,evz_means,evz_vars
-425.0,-7.950438,340.32818121011155,47.655477418199474,68.06563624202231
-415.0,-7.950438,702.0982991525298,74.00765888840868,105.24898480098344
-405.0,-7.950438,409.26376359239424,32.66280420109474,46.33999604232511
-395.0,-7.950438,644.6849484068696,41.61423447883989,58.974406384363185
-385.0,-7.950438,549.10604880463,31.59750245986908,44.7597835652667
-375.0,-7.950438,570.862698510955,28.723219582205946,40.672283217043
-365.0,-7.950438,582.8344990457854,24.897455872063947,35.24249000233557
-355.0,-7.950438,535.7513813163919,22.188555090074843,31.40630217702236
-345.0,-7.950438,507.8233993693673,18.91233168601237,26.764643185608588
-335.0,-7.950438,529.7686207064473,19.091535878199704,27.01705820943202
-325.0,-7.950438,573.2938902302224,19.40305843132634,27.45579786095982
-315.0,-7.950438,545.3947046732233,17.10213933973367,24.19797706964318
-305.0,-7.950438,619.7496571783447,19.42416713106222,27.483422645301065
-295.0,-7.950438,488.338852370244,14.777805936317868,20.908549281576292
-285.0,-7.950438,492.07831453524034,14.84346799032621,21.001390691910128
-275.0,-7.950438,521.4023157330964,15.706599086259098,22.22257057098989
-265.0,-7.950438,557.2337396804852,16.22857929557469,22.96041624528406
-255.0,-7.950438,537.4360294819294,15.65200130513876,22.144665807912855
-245.0,-7.950438,595.4407256746392,16.875391598417874,23.874997947574563
-235.0,-7.950438,491.6083302240219,13.938275459535626,19.719625678997875
-225.0,-7.950438,549.3208997952887,15.991349646560922,22.62477235071787
-215.0,-7.950438,525.4862470845101,14.513094008259323,20.532446706323988
-205.0,-7.950438,490.0918069767568,13.566636427590426,19.193476463401286
-195.0,-7.950438,505.37319193057465,13.703854736846894,19.387306222469203
-185.0,-7.950438,447.7716618150232,12.164295376665502,17.20926295199599
-175.0,-7.950438,497.06241299424414,12.982069763415879,18.365684071529603
-165.0,-7.950438,486.1647216380409,12.740977646057264,18.024654233225817
-155.0,-7.950438,446.0701193967831,11.448991861155228,16.19665531113893
-145.0,-7.950438,483.06950536552324,11.921284331229748,16.864378080340654
-135.0,-7.950438,387.12071568845295,9.576799296768598,13.54778567333084
-125.0,-7.950438,456.47113568529227,11.103757499148376,15.707732394370119
-115.0,-7.950438,426.8242842271663,10.22058796508709,14.45823984759456
-105.0,-7.950438,416.3033140792527,9.820550418635852,13.89222152265384
-95.0,-7.950438,426.6489083908173,9.94360226381918,14.066197959426644
-85.0,-7.950438,411.88736972043927,9.44437490340678,13.35987559811382
-75.0,-7.950438,369.77455066042774,8.4126623210007,11.900381357493401
-65.0,-7.950438,369.6359541934755,8.422597880299763,11.914445608741445
-55.0,-7.950438,348.72172320630693,7.734109432520573,10.94037348017897
-45.0,-7.950438,392.5497571376284,8.653106079020237,12.240314172207041
-35.0,-7.950438,347.4868892468444,7.68972049378271,10.87757079936946
-25.0,-7.950438,374.7996317216592,8.524780952857466,12.05898048296374
-15.0,-7.950438,381.6873355376071,8.339033846551827,11.795990371078341
-5.0,-7.950438,367.31472877982435,8.197029329578982,11.595237668995585
5.0,-7.950438,340.5016708903288,7.4127272350456535,10.485664439052377
15.0,-7.950438,325.588384531378,7.175311002012118,10.149887193968903
25.0,-7.950438,352.12615827856666,7.81538306705052,11.055344055136828
35.0,-7.950438,368.354955571452,8.226390635618923,11.636775507228585
45.0,-7.950438,319.5051806053221,7.26523505114006,10.277251280306988
55.0,-7.950438,360.39862393650697,7.987194076875418,11.298373179207553
65.0,-7.950438,323.05529305058377,7.312012992329763,10.34339771730192
75.0,-7.950438,387.39421332733343,8.745882284918027,12.371698572471004
85.0,-7.950438,390.38132643124726,8.731374947128527,12.351118579156157
95.0,-7.950438,418.95928993728296,9.477843759308929,13.407126312899736
105.0,-7.950438,388.75938507791386,8.783420372997004,12.424803831096225
115.0,-7.950438,431.42025113095394,10.054804551084427,14.223504471162885
125.0,-7.950438,402.7063892201652,9.582816465680477,13.555987603561913
135.0,-7.950438,427.1125463948683,10.30459077163393,14.577135113870076
145.0,-7.950438,408.9664399533923,9.942314381120962,14.064712692416673
155.0,-7.950438,424.8919232150389,10.767978242720094,15.233113471402197
165.0,-7.950438,469.16901791091686,12.130076184439389,17.160254590634047
175.0,-7.950438,506.49176196474184,12.815391298034333,18.129504408386907
185.0,-7.950438,444.51503667754713,11.546818907278775,16.335180025282686
195.0,-7.950438,448.9621732666967,11.876641222796463,16.80198705337182
205.0,-7.950438,424.31347886287153,11.44288356362591,16.18856895138989
215.0,-7.950438,484.0357918298889,13.487130044672803,19.081090920760296
225.0,-7.950438,521.4383244532094,14.335836047087993,20.281600218571917
235.0,-7.950438,502.11579315808524,14.03456307597128,19.8556270637972
245.0,-7.950438,444.6893437875729,12.720996100890547,17.997570701399653
255.0,-7.950438,444.79849762767765,13.082308753755225,18.50918590204419
265.0,-7.950438,561.1615906691982,16.533381920984155,23.39188787790363
275.0,-7.950438,621.3082584205915,18.409638655293108,26.046597151380574
285.0,-7.950438,516.6985531596122,15.737214524790968,22.266112121368828
295.0,-7.950438,576.4930894798961,17.91941926191055,25.35413708542206
305.0,-7.950438,607.2307769978113,19.116491682449457,27.048208597980246
315.0,-7.950438,605.8683118564809,19.62599971887256,27.769928543792783
325.0,-7.950438,566.3652342139396,18.703027779484962,26.464509419047484
335.0,-7.950438,589.9790826817627,20.515582834988322,29.03097277306008
345.0,-7.950438,727.1696502855369,25.565923421926495,36.17804228130505
355.0,-7.950438,641.8816887045102,23.92151815759406,33.85365306100417
365.0,-7.950438,572.9360149701341,23.00966407241916,32.56685318685068
375.0,-7.950438,708.3620388937934,30.596579964039172,43.3105188123772
385.0,-7.950438,664.2295932407653,30.638626453046907,43.37573002706443
395.0,-7.950438,697.7790291725105,37.89815468429464,53.67530993634696
405.0,-7.950438,616.0092037518747,34.76341051352566,49.24135895762554
415.0,-7.950438,581.836634720165,39.050318053778916,55.350292931693815
425.0,-7.950438,704.1163035295865,55.320601441086225,78.47773501522651
435.0,-7.950438,589.0804096395563,57.216547367452684,81.30082047510871
445.0,-7.950438,730.9129259572753,91.36411574465941,130.22979754745685
