meanrs,scatrs,stdrs,truthr,meanrd,scatrd,stdrd,truthr,means,scats,stds,truths
0.3937789,0.040815976,0.07209685,0.037444357,0.06628623,0.027365923,0.030694315,0.037444357,12.339824,1.6803602,2.7150555,14.701431
0.15698554,0.057060968,0.08585401,0.0738675,0.09658269,0.013858821,0.014337668,0.0738675,7.8709307,2.4948442,3.407837,15.112772
0.18489316,0.078453876,0.07974644,0.07822898,0.071998216,0.015326873,0.010042776,0.07822898,7.540918,2.584275,2.8943803,7.6597595
0.18968263,0.09194876,0.08023303,0.11612872,0.11080573,0.019129192,0.01747002,0.11612872,8.40105,2.6913095,2.760199,5.567025
0.36948696,0.04503588,0.072038375,0.12085291,0.13776012,0.019625494,0.033540756,0.12085291,13.41324,0.9164613,2.6674793,13.252059
0.046197247,0.03323713,0.016915623,0.090117335,0.06687897,0.023949636,0.0105280625,0.090117335,10.670608,2.9341145,3.3228066,4.847191
0.10416615,0.03219607,0.042349584,0.05579881,0.053473294,0.010942642,0.009899202,0.05579881,9.201076,3.2608323,3.1588385,9.270486
0.13328059,0.050125778,0.08593214,0.14371547,0.1459652,0.014223074,0.019747477,0.14371547,8.88425,1.8465868,3.4742582,4.5249085
0.42997947,0.015657254,0.058392145,0.1879672,0.15833911,0.009144789,0.028642064,0.1879672,14.42673,0.49313867,2.1055944,12.134618
