atol,abw_eigen,abw_dopri,abw_mean_eigen,abw_mean_dopri
0.1,"(0.0, -5.7220458984375e-06, -8.26120376586914e-05, -0.0002511739730834961)","(0.0, -5.960464477539063e-08, -5.960464477539063e-08, 0.00023186206817626953, 0.00021708011627197266)",8.4877014e-05,8.981228e-05
0.001,"(0.0, -5.7220458984375e-06, -8.26120376586914e-05, -0.0002511739730834961)","(0.0, -5.960464477539063e-08, -5.960464477539063e-08, 0.00023186206817626953, 0.00021708011627197266)",8.4877014e-05,8.981228e-05
1e-06,"(0.0, -5.7220458984375e-06, -8.26120376586914e-05, -0.0002511739730834961)","(0.0, -5.960464477539063e-08, 0.0, 1.6689300537109375e-06, 1.9073486328125e-06, 2.5033950805664062e-06, 2.384185791015625e-06)",8.4877014e-05,1.2176378e-06
1e-09,"(0.0, -5.7220458984375e-06, -8.26120376586914e-05, -0.0002511739730834961)","(0.0, 5.960464477539063e-08, -5.960464477539063e-08, 0.0, 0.0, 0.0, 2.384185791015625e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 2.384185791015625e-07, 1.1920928955078125e-07, 2.384185791015625e-07, 1.1920928955078125e-07, 2.384185791015625e-07, 0.0, 0.0, 1.1920928955078125e-07, 1.1920928955078125e-07, 0.0)",8.4877014e-05,9.41126e-08
