rtol,abw_eigen,abw_dopri,abw_mean_eigen,abw_mean_dopri
0.1,[ 0.0000000e+00 -5.7220459e-06 -8.2612038e-05 -2.5117397e-04],"[ 0.0000000e+00 -5.9604645e-08 -5.9604645e-08  2.3186207e-04
  2.1708012e-04]",8.4877014e-05,8.981228e-05
0.001,[ 0.0000000e+00 -5.7220459e-06 -8.2612038e-05 -2.5117397e-04],"[ 0.0000000e+00 -5.9604645e-08 -5.9604645e-08  2.5272369e-05
  2.4199486e-05]",8.4877014e-05,9.918213e-06
1e-06,[ 0.0000000e+00 -5.7220459e-06 -8.2612038e-05 -2.5117397e-04],"[ 0.0000000e+00 -5.9604645e-08  5.9604645e-08 -5.9604645e-08
  1.1920929e-07  1.1920929e-07  3.5762787e-07  3.5762787e-07
  2.3841858e-07]",8.4877014e-05,1.5232298e-07
1e-09,[ 0.0000000e+00 -5.7220459e-06 -8.2612038e-05 -2.5117397e-04],"[ 0.0000000e+00 -5.9604645e-08 -1.1920929e-07 -1.1920929e-07
 -1.1920929e-07 -1.1920929e-07 -1.7881393e-07 -2.3841858e-07
 -2.3841858e-07 -1.7881393e-07 -2.9802322e-07 -2.3841858e-07
 -1.7881393e-07 -2.9802322e-07 -3.5762787e-07 -2.9802322e-07
 -2.9802322e-07 -3.5762787e-07 -2.3841858e-07 -2.9802322e-07
 -3.5762787e-07 -3.5762787e-07 -4.1723251e-07 -4.7683716e-07
 -5.3644180e-07 -4.7683716e-07 -4.1723251e-07 -4.7683716e-07
 -4.7683716e-07 -4.7683716e-07 -4.7683716e-07 -5.9604645e-07
 -5.9604645e-07 -7.1525574e-07 -7.1525574e-07 -7.1525574e-07
 -7.1525574e-07 -7.1525574e-07 -9.5367432e-07 -1.0728836e-06
 -9.5367432e-07 -1.0728836e-06 -1.0728836e-06 -1.0728836e-06
 -1.0728836e-06 -1.1920929e-06 -1.0728836e-06 -1.3113022e-06
 -1.3113022e-06 -1.5497208e-06 -1.5497208e-06]",8.4877014e-05,5.726721e-07
