WDJ_Name,DR3_source_id,parallax,parallax_error,ra,ra_error,dec,dec_error,absG,bp_rp,SpT,comp,gaia_teff,gaia_teff_err,gaia_logg,gaia_logg_err,gaia_mass,gaia_mass_err,corrected_teff,corrected_mass,corrected_age,bibcode,comment
WDJ000210.72-430955.39,4994877094997259264,120.01426997667465,0.021522488,0.5484242194982256,0.014965798,-43.168439618,0.013544389,13.29135244,0.30948067,DA,H,8428,69,8.354,.017,.821,.011,8428,0.821,1.79,2011ApJ...743..138G,
WDJ000222.65+635744.14,431635455820288128,38.0576410247483,0.058539525,0.6036631273956624,0.04404724,63.962743077,0.048516396,14.91163933,1.1513519,DC,H,4879,38,7.939,.032,.542,.019,5011,0.636,7.01,2013AJ....145..136L,
WDJ000240.09-341339.59,2312821266302222720,67.52906109014079,0.028565476,0.6678798143455957,0.019956531,-34.23105221,0.020090068,14.02815556,0.62922,DC,He,6332,39,8.143,.017,.662,.011,6332,0.662,2.86,2001MNRAS.328..203S,
WDJ000331.63-164358.41,2414888694102153088,26.257755966715187,0.029099617,0.8829245135319762,0.023594236,-16.732887719,0.01800298,11.70571804,-0.06718922,DBA,He,12759,169,8.046,.024,.613,.015,12759,0.613,0.36,2018ApJ...857...56R,
WDJ000506.82+731309.38,537563127588521600,28.982473108704607,0.021286916,1.2813158032238048,0.018194396,73.219815783,0.01856938,11.58332721,-0.1062994,DBZA,He,13700,192,8.073,.024,.631,.014,13700,0.631,0.31,2019ApJ...885...74C,
WDJ000720.55+123021.16,2766234439302571904,57.277001750668994,0.058457207,1.8372377091198708,0.049003586,12.504845484,0.04280521,15.04708238,1.0153313,DCP,H,5223,35,8.274,.022,.758,.015,5285,0.813,7.83,2020A&A...643A.134B,
WDJ000728.90+340339.69,2875903332533220992,29.39643690843301,0.08408872,1.8705300750626102,0.059016228,34.061911026,0.041367214,14.58144047,0.8236561,DC,He,5646,55,8.189,.033,.690,.022,5666,0.705,5.26,2019ApJ...878...63B,
WDJ000754.11+394732.18,383108338321272448,29.100410006901214,0.057270415,1.977553340129352,0.038781334,39.791931936,0.029635338,13.88580454,1.2318163,DC,H,4679,27,6.932,.037,.170,.009,5106,0.287,1.78,2015ApJS..219...19L,Double degenerate candidate
WDJ001122.46+424040.92,384636109728592768,42.676567081763835,0.029079674,2.843289573717145,0.019939901,42.677025069,0.015081563,13.37113639,0.5064955,DA,H,7079,48,7.990,.019,.586,.011,7079,0.586,1.50,2015ApJS..219...19L,
WDJ001214.75+502520.74,395234439752169344,91.96457630276807,0.018302355,3.0582193135460027,0.011451377,50.419974933,0.011166868,14.05443087,0.62923145,DA,H,6483,34,8.237,.014,.740,.009,6483,0.740,3.23,2023MNRAS.520.6111H,
WDJ001324.45+543757.64,420531621029108608,30.976599032214992,0.11511801,3.357850446110235,0.07798965,54.635346221,0.07729477,15.45191867,1.4482307,DC,H,4123,85,7.776,.056,.459,.022,4348,0.631,9.44,2020MNRAS.497..130T,
WDJ001333.22-021319.42,2541549062071571968,25.75842616360543,0.1343942,3.388999601808324,0.115921676,-2.222764443,0.09408428,15.13200462,1.3502731,DC,H,4450,81,7.788,.060,.466,.025,4652,0.608,8.11,2020MNRAS.497..130T,
WDJ001339.15+001924.58,2545505281002947200,25.002390155721077,0.041161615,3.415000986441503,0.03852665,.322678493,0.025415258,12.32627664,0.19382,DA,H,9529,94,7.990,.025,.593,.015,9529,0.593,0.71,2015ApJS..219...19L,
WDJ001347.48-393724.28,4996458845552956928,27.90288828973255,0.11126544,3.4465745563672914,0.08255959,-39.626633041,0.062289212,15.1052658,1.2977295,DC,H,4542,61,7.824,.046,.476,.020,4732,0.608,7.82,2005ApJ...625..838B,
WDJ001349.89-714954.26,4689789625044431616,53.20518497550886,0.0193993,3.4612028621199697,0.01694269,-71.832838826,0.017565913,13.66303179,0.6718788,DAH,H,6275,33,7.874,.016,.516,.009,6275,0.516,1.73,2019A&A...628A...1L,
WDJ001412.79-131101.09,2418116963320446720,53.880866147529254,0.038864173,3.550804206824608,0.033984873,-13.186812817,0.025136456,14.41591784,0.7936468,DAH,H,5871,34,8.212,.017,.721,.011,5869,0.719,4.15,1997ApJS..112..527P,
WDJ001830.36-350144.71,2309122753616241280,28.049074886070553,0.058522884,4.627732498535426,0.041352358,-35.029179201,0.046871483,13.49025871,0.5195198,DAH,H,7008,64,8.048,.026,.621,.016,7008,0.621,1.68,2023MNRAS.518.3055O,
WDJ002116.21+253134.45,2855386170682263424,35.570097016990886,0.050932605,5.317799476419936,0.044227686,25.526273708,0.025962314,13.22974825,0.20468616,DA,H,9630,297,8.567,.059,.962,.037,9630,0.962,1.98,2020MNRAS.497..130T,
WDJ002147.30+264036.16,2855790657816672000,30.42810640951544,0.09171181,5.446718736950243,0.07204261,26.675311242,0.05374351,14.88156963,1.1212711,DC,H,4991,55,7.999,.044,.579,.027,5101,0.660,6.90,2015ApJS..219...19L,
WDJ002215.19+423642.15,385105360675267840,28.989923340265765,0.053261127,5.562166275795596,0.037115812,42.610504359,0.02544346,13.68227933,0.8458538,DC,He,5625,30,7.579,.020,.388,.008,5665,0.405,2.08,1997ApJS..112..527P ,Double degenerate candidate
WDJ002450.37+683446.85,529594417061837824,27.757534144660745,0.07246258,6.214864903552353,0.059630405,68.579783061,0.055250555,14.68405941,0.86151314,DC,He,5644,73,8.251,.041,.732,.028,5663,0.747,5.65,2020MNRAS.497..130T,
WDJ002640.74-552444.12,4920057871348614272,41.57229212565184,0.024641313,6.667393085711431,0.016688896,-55.414268678,0.019412639,13.25716185,0.15869331,DA,H,9935,99,8.649,.018,1.013,.011,9935,1.013,2.12,2011ApJ...743..138G,
WDJ002702.93+055433.40,2747384888699406080,27.05671447191263,0.15803143,6.761796522607595,0.13567491,5.907399733,0.09729188,15.17650229,1.0805111,DC,He,5046,89,8.249,.065,.729,.044,5124,0.800,7.32,2020MNRAS.497..130T,IR-faint white dwarf with collision-induced absorption in the infrared. Multiple solutions for Gaia stellar parameters
WDJ002736.63+054203.13,2555215995900584448,46.118299277557526,0.047717348,6.903825079067502,0.04618759,5.699694118,0.027355764,14.28531142,0.8867035,DA,H,5572,33,7.957,.021,.560,.012,5607,0.581,2.85,2017AJ....154...32S,
WDJ002949.72-544133.01,4920160332088386304,25.885067221156692,0.03570617,7.454836835151149,0.024287688,-54.693403803,0.028612813,13.12106149,0.656147,DA,H,7253,145,7.860,.057,.513,.031,7253,0.513,1.19,1994AAS...184.2809O,
WDJ003036.62-685458.25,4703464251158954496,25.45945540980334,0.040829152,7.651130320862246,0.034495804,-68.916537498,0.03379708,12.76015255,0.46875286,DA,H,8785,228,8.089,.064,.651,.040,8785,0.651,1.00,2023MNRAS.518.3055O,
WDJ003047.74+034657.93,2553935752048977792,35.997256309020244,0.04843781,7.699790352270129,0.04335194,3.783879361,0.030260282,13.873165,0.6159487,DC,He,6418,47,8.066,.022,.614,.014,6418,0.614,2.28,2020MNRAS.497..130T,
WDJ003209.86-025401.65,2528728726428345216,42.48814029561751,0.08286962,8.043925841546262,0.069137536,-2.899783606,0.048760824,15.14830461,1.3120289,DC,H,4496,37,7.820,.024,.473,.008,4691,0.610,8.00,2001ApJS..133..413B,
WDJ003325.28+250613.99,2807462655009880320,26.105468520955217,0.06589643,8.357698108601639,0.05465487,25.104527005,0.036959536,13.89257146,0.6951351,DA,H,6237,49,8.013,.026,.597,.015,6237,0.597,2.16,2015ApJS..219...19L,
WDJ003517.51-171851.57,2364319061964016512,29.94926650561679,0.028480139,8.825832679903346,0.022775507,-17.314343927,0.022403939,12.30437695,0.1803999,DAZ,H,9659,83,8.009,.021,.605,.013,9659,0.605,0.70,2003ApJ...596..477Z,
WDJ003535.84+015308.62,2544456862306151680,31.408605946484506,0.041355424,8.898681967597048,0.03585511,1.884115354,0.023172665,13.1010823,0.09651947,DA,H,10805,129,8.693,.020,1.040,.012,10805,1.040,1.82,2015ApJS..219...19L,
WDJ003614.41-415726.12,4993117773313626496,38.78760267513124,0.044637542,9.064129014855997,0.03076403,-41.958625718,0.031604722,14.34641869,0.82598114,DA,H,5743,33,8.105,.019,.651,.012,5754,0.658,3.57,2000A&A...353..958S,
WDJ003622.31-595527.55,4906743988126708992,43.618785396007375,0.018871129,9.095197453410867,0.015047213,-59.923768762,0.01578705,12.34755084,-0.10379505,DA,H,14378,215,8.603,.012,.990,.007,14378,0.990,0.62,2017ApJ...848...11B,
WDJ003713.77-281449.81,2319052851148048256,26.497874206365157,0.10285412,9.307774339708194,0.07717171,-28.247375087,0.060900744,14.73306317,0.92575264,DC:,He,5339,63,8.129,.044,.651,.028,5396,0.694,6.00,2023MNRAS.518.3055O,
WDJ004056.17-080908.56,2522401586766106624,26.71383397198628,0.093705244,10.234611541271125,0.0766999,-8.154112009,0.049624994,14.34857811,0.7341404,DAP,H,6080,67,8.264,.034,.756,.022,6080,0.756,4.17,2012MNRAS.425.1394K,
WDJ004122.04+555008.35,418491412783587200,43.65935569250702,0.021755258,10.34434410441941,0.012263701,55.83534173,0.014902345,12.19842161,0.06332302,DQ,He,10487,112,8.019,.023,.592,.014,10487,0.592,0.59,2015ApJS..219...19L,
WDJ004126.03-222102.29,2349916559152267008,109.92764165734953,0.02020457,10.356219925370175,0.014851349,-22.352333543,0.010992236,14.50271755,0.91118336,DQpec,He,5368,21,7.990,.014,.563,.009,5430,0.603,4.88,2009AJ....138.1681S,
WDJ004126.61-503258.58,4926464691244602752,31.838248401609455,0.086275816,10.361189667378039,0.05374553,-50.55121291,0.059157096,15.28983883,1.4689465,DC,H,4177,59,7.702,.044,.426,.019,4415,0.594,8.65,2023MNRAS.518.3055O,
WDJ004345.98-100025.02,2377863773908424448,32.12258599900451,0.042391665,10.94092868857244,0.029497655,-10.007548352,0.017187987,12.0676645,-0.27223682,DBAH,He,21334,835,8.893,.032,1.140,.016,21334,1.140,0.35,1992ApJ...396..273A,
WDJ004434.77-114836.05,2377344185944929152,27.082269456854252,0.09925583,11.145304818254537,0.07470905,-11.810744678,0.04806084,14.56536627,0.9947052,DZ,He,5296,81,8.050,.055,.614,.034,5362,0.662,5.78,2023MNRAS.518.3055O,
WDJ004506.34-060819.60,2523840155996531456,33.02656377426889,0.12418174,11.276906382598286,0.10266397,-6.141823276,0.06431907,15.56607495,1.1669083,DC,H,4847,66,8.378,.045,.827,.031,4938,0.925,9.79,2005ApJ...625..838B,
WDJ004519.60-332929.01,5006232026455470848,30.453606691329536,0.18316293,11.341388564246584,0.13079718,-33.497993182,0.1330653,16.02593367,1.50527,DC,H,4015,163,8.151,.107,.673,.070,4176,0.852,11.28,2005ApJ...625..838B,
WDJ004909.90+052318.99,2552928187080872832,231.7799995322092,0.018272836,12.296740250462333,0.016580552,5.376556608,0.008281123,14.12454279,0.5975876,DZ,He,6455,34,8.336,.013,.805,.008,6455,0.805,3.92,1993PASP..105..761W,
WDJ005110.87-202756.24,2356519298275043200,37.15203643080492,0.07299633,12.797965963165797,0.06257491,-20.467538464,0.044128895,14.84213912,1.1551971,DA,H,4881,35,7.893,.030,.516,.017,5019,0.610,6.46,1997ApJS..108..339B,
WDJ005311.22-501322.87,4925740628477887232,28.722002189650667,0.061008543,13.297227906835914,0.038752053,-50.223598159,0.045894,14.46697855,0.84498024,DC,He,5573,56,8.075,.034,.617,.022,5604,0.638,4.71,2023MNRAS.518.3055O,
WDJ005411.42-394041.53,4987578158855872384,37.342951528943914,0.04713559,13.548372174052117,0.031349897,-39.678228748,0.021054123,14.1691162,0.67819405,DA,H,6264,36,8.232,.017,.736,.011,6264,0.736,3.56,2023MNRAS.518.3055O,
WDJ005445.95+225610.59,2803596046661176576,27.375415907349947,0.05978384,13.693638031099955,0.048601672,22.935689877,0.039052427,13.32937263,0.19097137,DA,H,9654,146,8.627,.030,.999,.018,9654,0.999,2.21,2015ApJS..219...19L,
WDJ005503.58+101005.56,2582335342824976768,37.63191922903308,0.05042863,13.765050041326814,0.041208282,10.167997235,0.027624648,13.91132984,0.68980503,DA,H,6230,38,8.032,.019,.608,.012,6230,0.608,2.24,2020MNRAS.497..130T,
WDJ005550.34-112731.50,2472557872820632320,44.55728647476506,0.032979853,13.959371851133993,0.026437938,-11.456806305,0.019696193,13.38248967,0.53005695,DA,H,6952,46,7.950,.019,.562,.011,6952,0.562,1.48,2011ApJ...743..138G,
WDJ005558.30+594802.53,426122397136335872,43.77453946976722,0.050771616,13.996912620479067,0.034136206,59.800451653,0.04139612,15.01204493,1.2447968,DC,H,4645,24,7.837,.022,.483,.012,4821,0.604,7.39,2019ApJ...878...63B,
WDJ010338.56-052251.96,2524879812959998592,34.42280678841111,0.102508575,15.910992808406622,0.08847856,-5.380392038,0.059385948,15.0272264,0.22682571,DAH:,H,9375,285,9.388,.045,1.327,.014,9375,1.327,,2020MNRAS.497..130T,
WDJ010349.92+050430.57,2552121179905893888,45.41923058886876,0.08600779,15.959464909337223,0.0695395,5.076187372,0.050989322,12.22387486,0.35705185,DA,H,8064,59,7.538,.020,.388,.007,8064,0.388,0.68,2015ApJS..219...19L,Double degenerate from 2020A&A...638A.131N (ESO SPY)
WDJ010416.07-035025.39,2531326283993100416,28.098735201370932,0.123552494,16.068647889833105,0.103125475,-3.840718979,0.08310167,15.02347086,0.987772,DA,H,5369,80,8.345,.049,.807,.033,5413,0.847,7.44,2020MNRAS.497..130T,
WDJ010456.47+211958.87,2790494815860044544,30.658316819250558,0.11005897,16.23429528250566,0.09453979,21.331106241,0.07538901,15.13384454,1.0048466,DA,H,5287,74,8.369,.046,.822,.031,5338,0.871,8.05,2015ApJS..219...19L,
WDJ010457.96+212017.54,2790494850219788160,30.80437025180992,0.11375288,16.240488208977617,0.09775115,21.336257946,0.07684265,15.24188967,1.2513084,DC,H,4721,95,8.071,.074,.623,.047,4853,0.735,9.12,2015ApJS..219...19L,
WDJ011044.68+275815.74,307323228064848512,26.312182346241652,0.08207973,17.685426496883654,0.060211167,27.970345458,0.04871057,13.25471435,0.9566994,DAZ,H,6284,437,7.584,.188,.396,.068,6284,0.396,1.30,2006ApJ...643..402K,Double degenerate candidate
WDJ011103.67-722741.26,4687445500635789184,34.7829314436035,0.073872335,17.769303324645957,0.07395175,-72.462218346,0.06210659,15.3344329,1.2226791,DC,H,4158,134,7.718,.087,.432,.034,4406,0.582,8.43,This work,
WDJ011504.60-013316.32,2533575369771883648,29.413692909630164,0.09624577,18.7720107809487,0.0804247,-1.554429285,0.06768196,14.72129577,1.0138416,DA,H,5218,54,8.047,.041,.610,.025,5295,0.666,5.71,1997ApJS..108..339B,
WDJ011800.08+161020.56,2591754107321120896,59.66056792053775,0.019499337,19.500233481464097,0.015854698,16.169486587,0.01280488,12.66117292,0.15732002,DQ,He,9278,86,8.078,.021,.626,.013,9278,0.626,0.89,2005ApJ...627..404D,
WDJ011932.09-141526.77,2456160271800004096,39.366892321560314,0.07252064,19.882964770329576,0.051519435,-14.260033961,0.037620936,14.68632266,1.1137829,DA,H,4966,29,7.837,.026,.485,.014,5100,0.569,5.00,2001ApJS..133..413B,
WDJ012137.80+344042.98,320029150076023808,25.780560205379043,0.06641323,20.406727024227834,0.05128465,34.678637086,0.048098043,13.66819775,0.4443035,DZ,He,7064,104,8.323,.034,.799,.022,7064,0.799,3.09,2015ApJS..219...19L,
WDJ012403.99-424038.43,4983839647522981504,54.19819233573951,0.021207413,21.01841356195337,0.012560086,-42.679671194,0.014919686,13.36215901,0.7197161,DAH,H,6080,29,7.583,.014,.395,.005,6080,0.395,1.41,2007AJ....134..252S,Double degenerate candidate
WDJ012421.57+402358.09,372111985092019840,36.9736631735873,0.065281175,21.093914040878133,0.05286498,40.398900883,0.05077979,14.7468564,1.0098419,DA,H,5256,42,8.086,.029,.635,.019,5325,0.687,5.89,2015ApJS..219...19L,
WDJ012518.05-454531.05,4934162784467241472,46.221211927289175,0.038750824,21.32844218641158,0.023493126,-45.761121908,0.026685607,14.46249364,0.8086271,DA,H,5804,31,8.217,.016,.724,.011,5808,0.727,4.41,2017AJ....154...32S,
WDJ012524.47-260044.45,5037084872486444928,60.35779337436104,0.025622379,21.353109751656604,0.018525556,-26.014678368,0.015053582,13.86374177,0.45787907,DC,He,6941,39,8.227,.018,.718,.012,6941,0.718,2.56,1992AJ....103..267B,
WDJ012833.83+135122.04,2587268134239449728,26.57064810532068,0.024198426,22.14105345017056,0.020399742,13.85589113,0.014824025,11.44555174,-0.0688076,DA,H,13096,182,7.918,.016,.562,.009,13096,0.562,0.27,2008AJ....135..564B,
WDJ012923.99+510846.97,406775841506041344,26.064883309467728,0.034437794,22.350210306133366,0.021522272,51.145887926,0.023191959,10.61549092,-0.3054018,DA,H,22090,454,7.997,.026,.627,.014,22090,0.627,0.04,2018A&A...619A..31S,
WDJ012924.26+102301.34,2585189473147457408,34.174889651065236,0.024873955,22.35044973553913,0.022613436,10.381992921,0.014053339,12.0231226,0.29881477,DA,H,8516,64,7.536,.018,.390,.006,8516,0.390,0.60,2015ApJS..219...19L,Double degenerate candidate
WDJ012953.18-322425.86,5016473702391268096,26.10497929305536,0.054795265,22.472779767157768,0.03638673,-32.407911306,0.033407953,13.73346177,0.5774536,DA,H,6721,52,8.113,.023,.660,.014,6721,0.660,2.09,2023MNRAS.518.3055O,
WDJ013055.01+441423.29,396963005168870528,26.197473023941715,0.10476827,22.72994611259079,0.087185,44.240186816,0.08133415,14.86562101,1.1328812,DZA,H,4964,65,7.968,.054,.560,.032,5081,0.644,6.74,2020MNRAS.497..130T,
WDJ013246.67+460458.78,398672715686799488,25.838179278139194,0.029590104,23.19309921577997,0.023849148,46.082989551,0.022088373,12.06613154,0.110051155,DA,H,10473,99,8.018,.020,.612,.012,10473,0.612,0.58,2015ApJS..219...19L,
WDJ013538.69-543528.10,4912620293662031104,25.825239359977157,0.08643245,23.916462354020357,0.06704466,-54.59069779,0.07271854,15.12506778,1.269556,DC,H,4628,76,7.909,.065,.524,.038,4793,0.647,8.23,2005ApJ...625..838B,
WDJ013613.62-112032.63,2457759374023232768,30.537043174855857,0.025124414,24.05882062824192,0.021384057,-11.342915255,0.014459115,11.63408692,-0.0047359467,DA,H,11834,131,7.937,.017,.569,.009,11834,0.569,0.37,2011ApJ...743..138G,
WDJ013705.08-020738.75,2484544095751034496,27.986138794894188,0.05624181,24.27089696369475,0.048248857,-2.127463611,0.032779764,13.74070592,0.46883392,DA,H,7311,69,8.320,.024,.796,.016,7311,0.796,2.67,2020MNRAS.497..130T,
WDJ013759.39-045944.67,2480523216087975040,79.24319645098669,0.018644404,24.500065421632854,0.015386714,-4.997298039,0.010971936,12.23915893,0.49288273,DA,H,7127,45,7.231,.016,.283,.004,7127,0.283,0.70,1989ApJ...345L..91B,Double degenerate from 2020A&A...638A.131N (ESO SPY)
WDJ013832.02-195446.58,5139880551029408768,41.02282502194559,0.03140379,24.634396282969842,0.02166039,-19.912219232,0.017639551,13.59330482,0.3149023,DA,H,8431,85,8.526,.020,.934,.013,8431,0.934,2.67,2001A&A...378..556K,Double degenerate from 2020A&A...638A.131N (ESO SPY)
WDJ013843.16-832532.89,4617960488907213184,31.923134517016067,0.028039739,24.67511729400346,0.026603952,-83.425922321,0.026124412,13.21428764,0.41867065,DA,H,7631,63,8.071,.022,.637,.013,7631,0.637,1.40,2023MNRAS.518.3055O,
WDJ013856.87+152742.39,2589304876450784128,44.08941717250549,0.028865863,24.736814593222338,0.02373548,15.461345495,0.020740265,13.07016779,0.38471794,DA,H,7874,66,8.048,.021,.623,.013,7874,0.623,1.24,2015ApJS..219...19L,
WDJ013914.39-334903.32,5012346101380568832,25.258166575023008,0.06856203,24.813065432695378,0.045584295,-33.817687215,0.03667915,14.08052512,0.5747719,DA,H,6742,60,8.349,.024,.814,.016,6742,0.814,3.62,2005ApJ...625..838B,
WDJ014128.80+833458.83,572487740053132288,36.89573867932218,0.023812106,25.365225635194538,0.021287108,83.583385577,0.020523844,10.95821705,-0.2501564,DA,H,19004,368,8.046,.023,.648,.014,19004,0.648,0.09,2015ApJS..219...19L,
WDJ014258.08+073045.39,2568588664341691520,25.124104795696304,0.10432589,25.74226476633514,0.09102606,7.512713727,0.0774412,14.39688798,0.8958225,DA,H,5553,71,8.025,.048,.600,.029,5588,0.623,3.46,2020MNRAS.497..130T,
WDJ014300.98-671830.35,4698424845771339520,102.90778143705751,0.01108138,25.75030396963025,0.010806723,-67.312958158,0.009853145,13.75879908,0.6537342,DAZ,H,6350,32,7.981,.015,.578,.009,6350,0.578,1.96,2017AJ....154...32S,
WDJ014511.23+313243.56,303637562009656704,27.30902701289611,0.16177794,26.298410242466307,0.12730567,31.544781129,0.12529846,11.92623414,0.25138855,DA,H,8965,74,7.586,.026,.409,.009,8965,0.409,0.54,2015ApJS..219...19L,Double degenerate candidate
WDJ014641.31+215448.38,98092934167683072,37.71581876685573,0.030828858,26.67130104439892,0.028179096,21.912874456,0.023039693,12.9182267,0.23574257,DA,H,9165,91,8.293,.022,.782,.014,9165,0.782,1.23,2015ApJS..219...19L,
WDJ014743.94-271136.93,5025127443016406144,28.287697097026296,0.049200717,26.932543416338802,0.03477343,-27.194871758,0.027086686,13.53641096,0.56824493,DA,H,6764,50,7.988,.022,.584,.013,6764,0.584,1.68,2012MNRAS.425.1394K,
WDJ014754.82+233943.60,291057843317534464,33.98067208672025,0.024921326,26.97838185952718,0.022680793,23.661677763,0.019056208,11.68529982,-0.05842781,DAZ,H,12990,191,8.082,.014,.657,.009,12990,0.657,0.36,2020ApJ...905...56M,
WDJ014840.45+361530.98,318528007466920192,28.4161821479104,0.07630284,27.168507334793894,0.05904546,36.257579043,0.05176614,14.02648464,0.73114204,DA,H,6105,61,8.048,.032,.617,.020,6105,0.617,2.44,2015ApJS..219...19L,
WDJ015038.47-720716.54,4686800224727589248,31.529255729514464,0.035032243,27.65697882502686,0.034455873,-72.122297713,0.030320387,13.7263066,0.53051376,DC,He,6838,62,8.132,.025,.656,.016,6838,0.656,2.11,2008AJ....136..899S,
WDJ015151.14+642552.55,518201792978858880,57.79924585467076,0.015964454,27.965393161643807,0.010109668,64.430367276,0.010973198,12.75703486,0.27111816,DA,H,8794,71,8.098,.019,.657,.012,8794,0.657,1.01,2011ApJ...743..138G,
WDJ015202.96+470006.66,356922880493142016,60.56433165675938,0.031045204,28.012371952646653,0.025729885,47.002389874,0.023673147,11.40667265,-0.11815357,DA,H,14293,203,7.999,.018,.611,.010,14293,0.611,0.24,2011ApJ...743..138G,
WDJ015251.94+255340.65,297470774951165568,28.687550194767635,0.04314883,28.217471726351114,0.038119473,25.894821795,0.03397754,12.91706531,0.41251183,DA,H,7727,75,7.884,.027,.527,.015,7727,0.527,1.04,2015ApJS..219...19L,
WDJ015825.83+253051.31,105240786245136256,26.128531939144086,0.16716772,29.60851336219769,0.14171943,25.512487773,0.1454248,15.44495005,1.601223,DC,H,3761,248,7.510,.182,.344,.072,4044,0.532,8.54,2020MNRAS.497..130T,
WDJ015939.37+154847.62,78629306318257536,26.147366577767595,0.046650495,29.913679291847156,0.038405422,15.813185116,0.036314756,12.84633778,0.17555714,DC,He,9095,103,8.161,.028,.678,.018,9095,0.678,1.05,2015ApJS..219...19L,
WDJ020110.70+121226.03,2574620550768898432,31.74661557227799,0.052104086,30.29378319092125,0.044290587,12.206833411,0.038885243,13.57774917,0.4606123,DC,He,6952,73,8.026,.036,.590,.022,6952,0.590,1.72,2017MNRAS.472.4173R,
WDJ020210.60+160203.31,78649033103283584,30.988692068034506,0.113236524,30.544335868513087,0.0964006,16.03419175,0.08687216,15.26248423,1.1711979,DZ,H,4883,82,8.202,.060,.708,.040,4985,0.801,9.20,2020MNRAS.497..130T,
WDJ020304.33-122901.74,5149836834977282048,41.50695780590122,0.041751143,30.767860810752634,0.035357952,-12.484344593,0.025115822,12.61296752,0.10624695,DC,He,9881,113,8.178,.025,.691,.016,9881,0.691,0.87,1992AJ....103..267B,
WDJ020511.61-051754.30,2490975272405858048,31.075631146309032,0.15655702,31.302665228191653,0.1398316,-5.296671012,0.11705397,15.57007679,1.521658,DC,H,4084,97,7.836,.069,.481,.033,4301,0.656,9.90,2005ApJ...625..838B,
WDJ020614.67+183624.06,92597914738232448,27.450762980029264,0.1477889,31.564817093600006,0.12480503,18.607116986,0.11538166,15.3432921,1.4301567,DC,H,4285,119,7.804,.089,.464,.042,4500,0.623,8.87,2015ApJS..219...19L,
WDJ020702.30-302332.57,5020119579868434944,34.190639634212566,0.05913818,31.760839161263483,0.03823804,-30.392973949,0.03878053,14.37184613,0.88550377,DA,H,5589,40,8.031,.025,.604,.016,5619,0.624,3.39,2012MNRAS.425.1394K,
WDJ020809.31+372939.12,330661599315957504,30.27058396337334,0.12348944,32.038513707029914,0.10270612,37.493924945,0.09950659,15.092896,0.8661289,DA,H,5689,96,8.543,.048,.940,.031,5701,0.951,6.77,2020MNRAS.497..130T,
WDJ020847.22+251409.97,104648944047154432,25.58646061189819,0.027063332,32.1988039193817,0.023550576,25.235568164,0.02142017,10.26950207,-0.20835686,DA,H,16933,324,7.482,.020,.407,.005,16933,0.407,0.06,2015ApJS..219...19L,Double degenerate candidate
WDJ021120.84+395521.52,333010327952701696,58.23059072433413,0.02650553,32.842803475243166,0.021127582,39.920419532,0.020430056,13.23107998,0.4857483,DAZ,H,7196,48,7.933,.018,.553,.011,7196,0.553,1.33,2018MNRAS.480.3942H,
WDJ021148.18+711913.48,522115156720215040,37.08735474301783,0.053564332,32.95301936514795,0.03897994,71.319561519,0.044168595,14.81083529,1.0598297,DC,He,5032,33,7.984,.026,.559,.016,5135,0.631,6.14,2015ApJS..219...19L,
WDJ021228.98-080411.00,2486388560866377856,59.75689361890807,0.020285225,33.11800785372845,0.014162404,-8.071714161,0.014852743,12.60096107,0.3147831,DA,H,8467,111,7.893,.034,.535,.019,8467,0.535,0.84,2023MNRAS.518.3055O,
WDJ021348.83-334530.03,4970215770740383616,53.33253408289888,0.06488945,33.45437730374648,0.035165343,-33.756736555,0.039031073,14.6222291,0.8296623,DAZ,H,,,,,,,,,,This work,Gaia photometry contaminated by nearby MS star
WDJ021457.04+774559.88,561231932144411008,25.199959791545535,0.10940883,33.74322312156842,0.094275534,77.764949243,0.09887742,15.31784324,1.2120476,DC,H,4798,110,8.175,.081,.691,.054,4911,0.794,9.40,2015ApJS..219...19L,
WDJ021616.35+395125.41,332820971434386432,49.19713714376149,0.02462479,34.06721299807049,0.020873757,39.856628876,0.021794297,12.99554816,0.23081875,DA,H,9203,92,8.349,.021,.819,.014,9203,0.819,1.34,2015ApJS..219...19L,
WDJ021658.02+425805.24,351429930856782464,48.69947562229983,0.06485469,34.24694095145467,0.051810574,42.96552847,0.046559922,14.48224142,0.94199085,DA,H,5409,34,8.001,.023,.584,.014,5464,0.620,3.86,2015ApJS..219...19L,
WDJ021733.53+570647.35,458558784733311232,25.158025285577626,0.028289096,34.391094407816766,0.016935052,57.113047764,0.021721473,10.64376675,-0.3079977,DA,H,22261,453,8.026,.025,.643,.014,22261,0.643,0.04,2011ApJ...743..138G,
WDJ021831.50-393633.22,4963617807621683712,33.24072747109687,0.027477058,34.63416496726178,0.017943375,-39.608868087,0.021135643,13.2762796,0.48470497,DA,H,7176,51,7.963,.020,.570,.012,7176,0.570,1.39,2007AJ....134..252S,
WDJ021839.49+501351.28,355669578975070976,36.978661435679996,0.07235824,34.665317562007694,0.049912892,50.230261358,0.056427922,14.67739093,1.1577168,DA,H,4862,40,7.759,.032,.455,.015,5019,0.551,5.15,2020MNRAS.497..130T,
WDJ022111.49+533330.39,455517329408362752,34.42841726236136,0.066835575,35.29580680811094,0.042620346,53.558239246,0.057987988,13.84115429,0.5580864,DC,He,6709,69,8.153,.029,.669,.019,6709,0.669,2.38,2020MNRAS.497..130T,
