WDJ_Name,DR3_source_id,parallax,parallax_error,ra,ra_error,dec,dec_error,absG,bp_rp,SpT,comp,gaia_teff,gaia_teff_err,gaia_logg,gaia_logg_err,gaia_mass,gaia_mass_err,corrected_teff,corrected_mass,corrected_age,bibcode,comment
WDJ191647.11+804430.04,2295446546953958272,28.23374984233122,0.077127285,289.19828027970055,0.0725571,80.742419985,0.07942993,14.66839781,0.98934746,DA,H,5293,70,8.053,.049,.615,.031,5360,0.663,5.24,2015ApJS..219...19L,
WDJ191858.23-434920.40,6664729284121316864,29.09715161409304,0.12639631,289.74255557852166,0.1298474,-43.821814416,0.13349687,15.31295638,0.9132042,DC,He,5363,133,8.508,.071,.904,.047,5403,0.945,6.99,2023MNRAS.518.3055O,
WDJ191858.63+384321.48,2052891361294411520,84.24434883357806,0.016932584,289.74443824673165,0.0135654565,38.72151455,0.015135022,14.09643189,0.6377926,DC,He,6310,33,8.176,.015,.683,.010,6310,0.683,3.14,2018MNRAS.480.3942H,
WDJ191936.23+452743.55,2127093140445053696,35.63902364485457,0.035216633,289.9002558182952,0.029253969,45.463486758,0.03592759,14.19808599,1.191021,DA,H,4775,24,7.314,.020,.278,.006,5039,0.384,2.53,This work,Double degenerate candidate
WDJ192002.82-361102.65,6742379406616165376,26.93593428627298,0.032968763,290.01236601912075,0.02954167,-36.184651447,0.026914166,10.71711622,-0.28495502,DB,He,21963,746,8.138,.025,.682,.015,21963,0.682,0.06,2017ApJ...848...11B,
WDJ192034.92-074000.07,4201781696994073472,95.17577811152343,0.029248245,290.1452376415212,0.025757298,-7.667404304,0.023150485,12.14612518,0.03678894,DBQA,He,10805,117,8.051,.023,.612,.014,10805,0.612,0.57,1993PASP..105..761W,
WDJ192126.76+061322.71,4293873732939569920,55.10270735394486,0.03377345,290.36210073488405,0.026706422,6.222660165,0.028067792,14.29157469,0.78135395,DA,H,5908,31,8.147,.016,.679,.010,5902,0.675,3.46,2020MNRAS.497..130T,
WDJ192140.42+144041.40,4319908862597055232,50.307603765615106,0.029690132,290.4182563607856,0.020935532,14.677830427,0.019586064,11.52711016,-0.1453228,DA,H,15162,227,8.151,.018,.704,.011,15162,0.704,0.25,2018MNRAS.480.3942H,
WDJ192206.20+023313.29,4288942973032203904,25.37754916372097,0.2655271,290.52614409765994,0.19966051,2.553562745,0.20874715,16.14175839,0.7534504,DZ,He,,,,,,,,,,2022MNRAS.517.4557E,IR-faint white dwarf with collision-induced absorption in the infrared. Multiple solutions for Gaia stellar parameters
WDJ192359.24+214103.62,2018864362679341824,28.2020421169934,0.24582139,290.9970123214632,0.13925697,21.683979184,0.18752097,11.91629278,0.29414177,DA,H,8773,109,7.516,.041,.384,.014,8773,0.384,0.54,2020MNRAS.497..130T,Double degenerate candidate
WDJ192626.93+462015.10,2127566548919332608,29.708664431972874,0.026976781,291.6119077731095,0.02366523,46.337761499,0.026116308,13.19555464,0.35276222,DA,H,8149,76,8.209,.022,.725,.014,8149,0.725,1.46,2020MNRAS.497..130T,
WDJ192724.75+564455.34,2142307563871222912,31.453672385861786,0.045553967,291.85417216073256,0.04702459,56.749022731,0.042907022,14.19933279,0.6190891,DA,H,6551,66,8.351,.026,.815,.017,6551,0.815,3.92,2020MNRAS.497..130T,
WDJ192743.10-035555.23,4213409341688406912,41.925119657022975,0.035875082,291.92958062045557,0.032487657,-3.931159306,0.028208436,13.61900455,0.5265045,DZ,He,6848,49,8.133,.019,.674,.012,6848,0.674,2.26,This work,
WDJ192938.65+111752.41,4314903198513595776,27.32572636218529,0.028911313,292.4111297688326,0.019485964,11.298326063,0.019255767,10.67360058,-0.2800541,DA,H,20415,415,7.947,.025,.595,.014,20415,0.595,0.05,2020MNRAS.497..130T,
WDJ193019.71-005730.56,4215241712185612544,28.493859008495786,0.046342444,292.5821471170634,0.038276594,-.95850823,0.033733267,13.42929836,0.35454845,DC,He,7601,73,8.147,.025,.667,.016,7601,0.667,1.63,2020MNRAS.497..130T,
WDJ193538.63-325225.56,6744843579679059968,29.274788275831405,0.09860473,293.91033169537735,0.080375694,-32.873674545,0.078093834,14.53069581,0.99137497,DZAH,H,5305,47,7.967,.035,.563,.021,5376,0.610,4.12,2023MNRAS.518.3055O,
WDJ193618.58+263255.79,2024985481361040384,33.17633880912521,0.027934402,294.0773693746511,0.016452359,26.548814101,0.022095509,11.28879029,-0.33520412,DA,H,24229,469,8.518,.022,.949,.014,24229,0.949,0.12,1998A&AS..132..341M,
WDJ193713.75+274318.74,2025389380082340992,54.77671608585927,0.015628505,294.3094997066659,0.009329971,27.721965844,0.012071256,11.75426896,-0.012428284,DA,H,12022,131,8.046,.014,.633,.009,12022,0.633,0.42,2018MNRAS.480.3942H,
WDJ193955.83+661856.08,2248748668919802496,28.411101137293127,0.08143305,294.98351300214057,0.0832475,66.317211339,0.071310334,14.96836033,1.0263214,DC,He,5122,47,8.153,.034,.665,.022,5199,0.727,6.80,2020MNRAS.497..130T,
WDJ194008.62+834857.77,2301882675705225472,27.985135012397926,0.10368887,295.0014920007454,0.09591255,83.814244205,0.10006498,15.50910803,1.2287102,DC,H,4805,87,8.310,.060,.781,.041,4905,0.883,9.83,2015ApJS..219...19L,
WDJ194454.70-360310.92,6740493675455190784,33.772243270545864,0.0307527,296.2283129332621,0.02276217,-36.053640911,0.01609237,11.70815154,-0.061418533,DA,H,13084,189,8.107,.015,.672,.009,13084,0.672,0.36,2017MNRAS.472.4173R,
WDJ194522.76-490420.23,6671045050707117568,29.114998874188032,0.124341145,296.343063413061,0.09865178,-49.072897528,0.09088438,15.30672389,1.4006348,DC,H,4324,102,7.807,.076,.465,.035,4536,0.620,8.71,2023MNRAS.518.3055O,
WDJ194530.33+465006.84,2080526555267049984,34.77257375541674,0.05773082,296.3734338738044,0.051409956,46.833448075,0.05417166,14.87856818,1.164648,DA,H,4855,36,7.893,.031,.516,.018,4996,0.613,6.66,2018ApJS..239...26L,
WDJ194530.35+465015.52,2080526555267050496,34.71155822672623,0.05092507,296.37353353455154,0.046987865,46.835846064,0.048523102,14.67164055,0.96128845,DA,H,5383,44,8.113,.028,.654,.018,5435,0.693,5.33,2018ApJS..239...26L,
WDJ194549.13-153135.63,4181798519823760256,32.34600723053907,0.033341296,296.45452937613027,0.032818187,-15.52681209,0.022519741,12.2226334,-0.01789093,DA,H,12377,170,8.387,.017,.850,.011,12377,0.850,0.64,2023MNRAS.518.3055O,
WDJ194923.50+074731.69,4298029268399256704,27.371463891321117,0.032882642,297.3485024123124,0.022868153,7.791587218,0.020764535,12.55444413,0.22379208,DA,H,9245,81,8.078,.022,.645,.013,9245,0.645,0.86,2015ApJS..219...19L,
WDJ195003.62+003357.09,4240231824768647040,27.86770911656514,0.068264015,297.51534354306546,0.055311903,.566471372,0.045060255,14.06268334,0.8013115,DA,H,5833,42,7.940,.027,.551,.016,5834,0.552,2.30,2020MNRAS.497..130T,
WDJ195119.15+420941.40,2078430778727685632,26.02870801293099,0.07830392,297.82914454488747,0.06540584,42.160917933,0.07226668,14.82749006,1.0815125,DA,H,5109,51,8.039,.039,.605,.024,5200,0.673,6.48,2020MNRAS.497..130T,
WDJ195151.76+402629.07,2073772770741915264,25.03227350803417,0.098855585,297.9655705001743,0.07876027,40.440249335,0.089485824,15.10646148,1.1136265,DC,He,4953,61,8.132,.049,.651,.032,5051,0.733,7.20,2020MNRAS.497..130T,IR-faint white dwarf with collision-induced absorption in the infrared. Multiple solutions for Gaia stellar parameters
WDJ195211.78-732235.48,6368021054841781376,31.175107122096428,0.254172,298.04460720551947,0.17105624,-73.375397937,0.21371898,17.13143677,1.1734409,DC,He,,,,,,,,,,2023MNRAS.518.3055O,IR-faint white dwarf with collision-induced absorption in the infrared. Multiple solutions for Gaia stellar parameters
WDJ195629.23-010232.67,4235280071072332672,86.46580129657241,0.016304245,299.11983048810464,0.013281665,-1.045547363,0.009520753,13.27540485,0.39505768,DAH,H,7790,89,8.168,.026,.698,.017,7790,0.698,1.54,2018MNRAS.480.3942H,
WDJ195639.81-511544.83,6666783962114636288,31.648831880322557,0.11237368,299.1659752731846,0.08543542,-51.262382182,0.08138324,15.13648343,1.2490273,DC,H,4637,73,7.926,.062,.533,.037,4799,0.655,8.33,2023MNRAS.518.3055O,
WDJ200348.80-474800.18,6670827416123874688,32.733902460119374,0.06017841,300.9530742196671,0.046196014,-47.800997915,0.041610822,14.03324692,0.7721195,DA,H,5924,52,7.968,.030,.568,.017,5915,0.563,2.28,2023MNRAS.518.3055O,
WDJ200445.49+010929.21,4237555506083389568,30.91104286964033,0.06284509,301.1895540023265,0.051217444,1.157988858,0.037602905,14.17149029,0.5955658,DA,H,6642,78,8.367,.029,.826,.020,6642,0.826,3.88,2020MNRAS.497..130T,
WDJ200534.87-105654.43,4190813690536580608,57.81496694057579,0.06256401,301.4001192327908,0.057843115,-10.948816264,0.041159824,15.47935141,1.2799196,DC,H,4577,33,8.142,.024,.668,.016,4713,0.797,10.01,2018MNRAS.480.3942H,
WDJ200610.36-435554.45,6673731810450381056,25.363127139024556,0.040213186,301.54195540450917,0.032851007,-43.931994483,0.027596552,12.70103699,0.23737144,DA,H,9131,92,8.146,.025,.687,.016,9131,0.687,0.98,2013MNRAS.431..240O,
WDJ200632.25-210142.90,6865904860773722496,25.579794386997083,0.103969924,301.63434790909923,0.085545614,-21.028408927,0.06451263,14.66638725,1.0610027,DA,H,5119,59,7.938,.048,.544,.028,5218,0.611,5.12,2020MNRAS.497..130T,
WDJ200654.88+614310.27,2237893023118101504,30.011281626832208,0.07376474,301.73026367592576,0.068547346,61.718798049,0.06825599,13.74386971,0.96748734,DA,H,5330,31,7.402,.026,.315,.009,5448,0.359,1.71,2015ApJS..219...19L,Double degenerate candidate
WDJ200707.98-673442.18,6424223313252632576,26.000873352682163,0.047285017,301.7837173352278,0.021832436,-67.579058229,0.040877517,13.53610368,0.39961815,DAH,H,7768,74,8.326,.023,.801,.015,7768,0.801,2.20,2023MNRAS.518.3055O,
WDJ200850.81-161943.62,6874124023727679104,26.012661567586594,0.10712083,302.21260820284687,0.09310255,-16.328943788,0.0667777,14.83052995,0.85930824,DC,He,5539,75,8.304,.044,.767,.030,5568,0.791,6.19,2020MNRAS.497..130T,
WDJ201017.52-214645.80,6853784501721502720,37.159250812763176,0.020841109,302.5734900783276,0.018328551,-21.780805186,0.012899141,12.22310675,0.17257881,DA,H,9720,79,7.969,.020,.582,.012,9720,0.582,0.66,2011ApJ...743..138G,
WDJ201056.85-301306.63,6749419923164242816,61.69348763255287,0.032288823,302.7351163460641,0.025648989,-30.219616097,0.020999355,11.20998361,-0.15526962,DA,H,15124,242,7.940,.020,.579,.011,15124,0.579,0.18,2018MNRAS.480.3942H,
WDJ201216.01-221023.03,6853523539508720000,28.092865786696006,0.08478877,303.0671023281717,0.07555629,-22.172929932,0.057012185,14.58163222,0.86527824,DC,He,5514,62,8.124,.039,.648,.025,5551,0.674,5.31,2020MNRAS.497..130T,
WDJ201222.27+311348.88,2053953008490747392,32.50904134365335,0.02340384,303.0929561505318,0.016015394,31.230655649,0.01927492,12.33309881,-0.22787666,DBP,He,18365,599,8.885,.034,1.135,.017,18365,1.135,0.54,2015ApJS..219...19L,
WDJ201231.78-595651.67,6443365570172526848,60.795117719634625,0.033516385,303.13547786692294,0.023110058,-59.953872302,0.025636211,14.55212452,0.91399,DC,He,,,,,,,,,,2018MNRAS.480.3942H,IR-faint white dwarf with collision-induced absorption in the infrared. Multiple solutions for Gaia stellar parameters
WDJ201248.76-465902.59,6672244029484054272,36.0271009770449,0.066271536,303.20435877847524,0.05520404,-46.984955909,0.041625213,14.15138858,0.8136053,DA,H,5809,50,7.993,.029,.583,.017,5813,0.585,2.54,2008AJ....136..899S,
WDJ201355.68+064244.83,4249667902270614272,43.57360725110433,0.037871387,303.480854630129,0.03220263,6.709863753,0.025164394,13.86040157,0.56529045,DC,He,6646,46,8.150,.019,.667,.013,6646,0.667,2.44,2015ApJS..219...19L,
WDJ201530.35+000111.80,4230380819051252736,39.26401056209517,0.08122226,303.8764068574582,0.065086484,.019607033,0.050802883,14.99936129,1.1225014,DC,H,4917,45,8.034,.036,.600,.022,5032,0.689,7.78,2020MNRAS.497..130T,
WDJ201649.72-794553.12,6361559602963567744,41.40794678918845,0.03256997,304.2156381070316,0.027080934,-79.765969751,0.028130325,14.25739648,0.88187885,DA,H,5569,35,7.942,.022,.551,.013,5605,0.572,2.76,2009AJ....137.4547S,
WDJ201722.68-401043.73,6692573110423893376,25.317306193182493,0.122296885,304.34486912941435,0.09862764,-40.179875455,0.08271997,14.81534547,1.139246,DZA,H,4968,84,7.937,.070,.542,.041,5088,0.626,6.32,2023MNRAS.518.3055O,
WDJ201756.19-124639.44,6879524790480960896,35.62797473990114,0.09685098,304.48399394632025,0.08630666,-12.779306735,0.05642531,15.37438568,1.1829071,DC,H,4824,51,8.238,.037,.732,.025,4928,0.832,9.57,2023MNRAS.518.3055O,
WDJ202011.65-382445.66,6693352488073255936,35.52576128593937,0.053283803,305.0493056447216,0.046834365,-38.412965551,0.038384747,13.93233197,0.4695263,DA,H,7290,68,8.432,.022,.871,.014,7290,0.871,3.39,2023MNRAS.518.3055O,
WDJ202016.78-652523.10,6429048245152936320,25.985871774911487,0.068504855,305.0718740192769,0.034783725,-65.424021231,0.054367315,14.23147046,0.6691189,DAZ,H,6342,65,8.298,.028,.779,.019,6342,0.779,3.91,2023MNRAS.518.3055O,
WDJ202025.46-302714.65,6797171060323993728,57.27289689365631,0.02108817,305.1057046665205,0.01813394,-30.454499721,0.013874239,12.38668275,0.09788132,DC,He,9934,106,8.045,.024,.607,.014,9934,0.607,0.71,2023MNRAS.518.3055O,
WDJ202030.93-420256.74,6680097978480311040,25.019580062122905,0.060390342,305.12962670730053,0.048378166,-42.051065812,0.039031725,13.55504008,0.4557476,DQ,He,6969,71,8.018,.036,.585,.022,6969,0.585,1.69,2023MNRAS.518.3055O,
WDJ202157.83+545438.25,2185261016407220224,26.34657296786822,0.054199442,305.49141960874664,0.049866073,54.911766364,0.05201226,14.33926066,0.73661804,DC,He,5967,54,8.177,.028,.683,.018,5956,0.675,3.95,2020MNRAS.497..130T,
WDJ202221.70+833355.41,2302010356492847744,25.83262187610003,0.061581507,305.58554329865973,0.05670345,83.56616033,0.06409532,14.25421144,0.7688923,DC,He,5836,92,8.060,.051,.608,.032,5837,0.609,3.50,2015ApJS..219...19L,
