z,vz_mean,vz_vars,evz_means,evz_vars
-555.0,-7.936656,585.4745673029141,87.27739543910612,124.82359715697235
-545.0,-7.936656,615.2062914242449,85.31376264300604,121.82899957550158
-535.0,-7.936656,373.83460438831486,44.681781432411874,63.64582968183323
-525.0,-7.936656,506.4883748712862,50.648837487128624,71.98912289889813
-515.0,-7.936656,583.8249219400974,47.04595290696555,66.75009872244158
-505.0,-7.936656,592.3639108066386,40.78001338973532,57.80879837682771
-495.0,-7.936656,595.2222925319554,39.16275162492395,55.504764975787104
-485.0,-7.936656,570.3342900511087,32.710914925905236,46.3364936411655
-475.0,-7.936656,473.98361616049806,24.476408690197037,34.66111479862308
-465.0,-7.936656,637.1476512138726,29.142455242971685,41.25683372387811
-455.0,-7.936656,594.8486759402944,25.480517733708577,36.06799885530359
-445.0,-7.936656,540.5356901642668,22.291316158781402,31.551522577718284
-435.0,-7.936656,555.8411429160581,21.145193613777884,29.925481176533197
-425.0,-7.936656,511.77050196096957,18.383339114618828,26.014756629149105
-415.0,-7.936656,595.4233502671293,19.11789160514611,27.050728862231836
-405.0,-7.936656,536.1117375631926,16.778087102229954,23.73942675493642
-395.0,-7.936656,592.6979523584182,17.05296731694515,24.126525870667873
-385.0,-7.936656,570.8176997617954,15.899042580416356,22.49336846238688
-375.0,-7.936656,642.5590475880209,16.685624566861758,23.604996430003794
-365.0,-7.936656,603.2331126176084,15.219384189171357,21.530313045088924
-355.0,-7.936656,571.0556174051742,13.78139753359709,19.49551733097474
-345.0,-7.936656,530.9825973167037,12.4532683922182,17.616426724434252
-335.0,-7.936656,573.6032086281707,13.046548858518472,18.455380721796907
-325.0,-7.936656,602.7537111678337,12.996298803067466,18.383815843153272
-315.0,-7.936656,584.7895022970803,11.927030675352933,16.8708778229205
-305.0,-7.936656,559.5054555729043,11.255581911508205,15.921018491616652
-295.0,-7.936656,551.537229821877,10.769007717192816,15.232580700009303
-285.0,-7.936656,566.288849163818,10.620612904250633,15.022457050195527
-275.0,-7.936656,535.217192321782,9.906334946118246,14.01207358944733
-265.0,-7.936656,552.5375999949604,10.034534685193325,14.193315823308241
-255.0,-7.936656,538.8715587735066,9.655088011615167,13.656548650271924
-245.0,-7.936656,552.3890547487558,9.680613174755925,13.692557270726281
-235.0,-7.936656,538.6754356216495,9.295801163965391,13.148205968570068
-225.0,-7.936656,522.6183418944001,8.998631698938635,12.727873860304669
-215.0,-7.936656,528.201461382383,8.766904706252273,12.399983639987898
-205.0,-7.936656,516.2592391219443,8.465541592548451,11.973693641411586
-195.0,-7.936656,527.7468239954982,8.590623396689908,12.150585999058086
-185.0,-7.936656,511.6792492527712,8.346788653038272,11.805712563983652
-175.0,-7.936656,497.8496102769028,7.83262778592773,11.078379615320367
