z,vz_mean,vz_vars,evz_means,evz_vars
-555.0,-7.937868,585.466044503754,87.27612493522074,124.82178009008605
-545.0,-7.937868,634.4593112225273,91.57631353104767,130.87896269632694
-535.0,-7.937868,373.8296449541839,44.681188666655935,63.64498533169466
-525.0,-7.937868,462.68744413710573,47.72256602601894,67.85177883931013
-515.0,-7.937868,598.7612620478859,49.896771837323826,70.81099129739647
-505.0,-7.937868,591.8645760476841,41.03842455905155,58.177113914172935
-495.0,-7.937868,616.0390215054788,41.34583195315246,58.6039762073107
-485.0,-7.937868,578.3571811879756,33.673256955717335,47.70209632094726
-475.0,-7.937868,484.57778429932955,25.39877717466458,35.968736733994156
-465.0,-7.937868,644.0262074866355,30.225647565769133,42.79267519636851
-455.0,-7.937868,583.9924482805457,25.634423344585937,36.28752509345506
-445.0,-7.937868,547.5953565852341,23.30720617531731,32.99126401189252
-435.0,-7.937868,560.5146964297185,22.070244618957428,31.236262814857
-425.0,-7.937868,523.825067389665,19.481263872826453,27.569740388929738
-415.0,-7.937868,588.2094615842211,19.661673880252593,27.821352859589812
-405.0,-7.937868,555.1810878422391,18.53695697847824,26.229840911372673
-395.0,-7.937868,600.0068902533715,18.429065137468527,26.07493625969506
-385.0,-7.937868,533.2366570509598,16.203385657376202,22.92563451623656
-375.0,-7.937868,658.6261583141197,19.044667096830814,26.944493275072052
-365.0,-7.937868,609.2470938624514,17.728358176685425,25.082305917425664
-355.0,-7.937868,596.5014069345368,16.81787622239686,23.79352741101082
-345.0,-7.937868,561.4624920534952,15.88055742051698,22.467488475648466
-335.0,-7.937868,575.2430453304289,16.329221721547146,23.102316641306842
-325.0,-7.937868,585.1589869806405,16.069490875151686,22.73426605142378
-315.0,-7.937868,581.1237814366248,15.62635039662654,22.106990510963083
-305.0,-7.937868,560.0796047672693,14.974105924287443,21.18415621404563
-295.0,-7.937868,590.2787366905703,15.826816757532228,22.390548718748303
-285.0,-7.937868,557.2363945628657,14.306937607156549,20.239737274510002
-275.0,-7.937868,525.7887563533128,13.648796050583856,19.308819248000116
-265.0,-7.937868,561.9639764332442,14.423564172258788,20.404722100361102
-255.0,-7.937868,508.7293198044562,12.818773950948929,18.134241790666888
-245.0,-7.937868,538.6209424906439,13.341032228197694,18.87285882186096
-235.0,-7.937868,511.4087659098527,12.499436686218418,17.682155080978017
-225.0,-7.937868,484.7314665794505,11.557616860748862,16.34958658337881
-215.0,-7.937868,553.9461007629957,13.185456030674194,18.65233544101718
-205.0,-7.937868,506.32515567814323,11.513338410781056,16.286530454956115
-195.0,-7.937868,512.5106058394979,11.867614731238065,16.787843071634338
-185.0,-7.937868,508.86553012862436,11.808563829993268,16.70432939161533
-175.0,-7.937868,485.1030699172372,10.871723362996818,15.378801191038768
-165.0,-7.937868,452.04872963162245,10.113174738135692,14.305769343741641
-155.0,-7.937868,481.0397809182611,10.47969698044917,14.824047825972258
-145.0,-7.937868,483.68046810044336,10.544735302317596,14.916052786807073
-135.0,-7.937868,442.3336366034876,9.404969783704722,13.303643314417208
-125.0,-7.937868,455.13065696965043,9.278724466650788,13.12482578563323
-115.0,-7.937868,388.21359415395233,7.96933108628864,11.272711558159603
-105.0,-7.937868,411.04154037523017,8.225767749681657,11.635322406157293
-95.0,-7.937868,395.89460176829107,7.8077975094373215,11.04404114941359
-85.0,-7.937868,414.41677468531475,8.119578082052572,11.485022074807535
-75.0,-7.937868,377.28551745748496,7.255490720336249,10.262711244544994
-65.0,-7.937868,397.0095947537235,7.4629027956002485,10.556003531285086
-55.0,-7.937868,404.5697761363991,7.485617929290313,10.588074959337932
-45.0,-7.937868,356.18871372113347,6.6245458204306855,9.370143255278428
-35.0,-7.937868,361.1597634784345,6.675564534713368,9.442287002551346
-25.0,-7.937868,368.7787246864833,6.758906533469674,9.560143088604345
-15.0,-7.937868,346.624535724245,6.201600531868018,8.771791628876876
-5.0,-7.937868,332.59929111837766,5.9326554791950095,8.391376876861584
5.0,-7.937868,353.98959404494053,6.35886650163192,8.994246518049092
15.0,-7.937868,360.6930163422687,6.4678142547626285,9.148341550706947
25.0,-7.937868,370.3888240176914,6.635278399153828,9.385206793330918
35.0,-7.937868,346.87771586784083,6.2964687618086215,8.906018857808636
