n:ff689 dfo z2:180.0 z1:1188.0 data:pos,"[0.99972359 1.00030206 0.99918666 1.00129687 1.00065698 0.99789995
 1.00057715 1.00262189 0.99797128 1.00319246 0.99927806 0.99831253
 0.99877645 1.00117841 1.00132886 1.0027555  0.99612556 0.99282314
 1.01386862 0.99216651 0.99116427 0.99271492 1.01092544 1.01834043
 0.99814577 0.99360922 1.0001795  0.98291821]","[0.0017156  0.00212216 0.00232353 0.0029165  0.00385198 0.00463142
 0.00534315 0.00563768 0.00675097 0.00768707 0.00729926 0.00964013
 0.00995863 0.01072187 0.01115101 0.01286913 0.01334037 0.01520223
 0.01629386 0.01796742 0.01878337 0.0213643  0.02006087 0.02274435
 0.02395517 0.02473718 0.02552074 0.02946282]","[13819.50534233 12281.9221649  10701.3390972   9243.3599031
  7942.27939749  6928.20676846  6182.87153643  5538.45818059
  5010.69432393  4678.83477132  4337.70643961  4002.19759126
  3674.02253717  3353.29222112  3018.15958561  2688.04788714
  2357.42763592  2075.59706457  1879.03478065  1634.36350536
  1462.11399602  1326.45528837  1230.26891981  1125.98353264
   998.29988123   899.32896656   824.93767522   747.39897088]","[93.10801784 66.5776804  64.91197833 57.83396375 55.49153205 52.97877766
 53.06283636 47.47212407 53.45169705 45.24683582 43.45246293 46.09388355
 43.2674058  43.24042744 42.01107482 40.87542228 35.03920609 34.73061355
 34.93235804 35.56002085 28.05552695 30.89389606 28.37826563 28.08903328
 26.88272236 23.91919435 23.86674294 23.85142299]"
n:ff45it100 dfo z2:180.0 z1:1188.0 data:neg,"[0.99962944 0.99999801 0.99985272 1.0012402  0.99975032 1.00279462
 0.99715787 1.00156972 0.99913212 1.00280722 0.996313   0.99558486
 0.99895213 0.99634665 1.00418809 1.00035267 0.99701872 0.9950113
 1.01310661 1.01204076 0.99180001 0.99455774 0.99819225 1.00416901
 0.99818536 0.98317595 1.01731992 0.99906176]","[0.00199025 0.00254962 0.0029384  0.0033197  0.00398694 0.00429582
 0.00511661 0.00554012 0.0070419  0.00729011 0.00813277 0.0101583
 0.010885   0.01189877 0.01332295 0.01357163 0.01450351 0.01605541
 0.01678609 0.01693511 0.01904722 0.02184135 0.02190982 0.02276507
 0.02205129 0.02328495 0.02589231 0.03061966]","[13197.27138421 11846.68902291 10761.99720065  9840.87056792
  9000.07790523  8298.51527325  7586.3219526   6941.68411844
  6191.14739306  5440.98221766  4649.22776148  3980.13960335
  3455.69094577  3030.31484687  2728.80458349  2456.38026398
  2228.15367139  2030.69988129  1883.07244359  1698.24867932
  1487.96904844  1328.33572895  1187.33633057  1067.53499333
   952.61566127   847.37024709   797.36921186   715.44230159]","[83.62055844 70.54477947 61.48396022 63.45075873 62.81985548 62.50607219
 63.31280903 54.5541289  53.65239627 51.97050948 45.22827537 50.51670612
 47.82379575 40.6661848  42.37386985 37.79463972 36.78153716 33.75911996
 33.57494741 31.61597676 31.71528155 28.58457938 25.53754081 24.9081565
 22.3609788  20.37858804 21.65739947 22.47964182]"
n:ff80it100 dfo z2:180.0 z1:1188.0 data:neg,"[0.99964717 0.9999899  0.99985092 1.00127699 0.99979511 1.00284343
 0.99711133 1.00143462 0.99890749 1.0025261  0.9962181  0.99572503
 0.99914353 0.99650065 1.00383832 0.99960079 0.99646544 0.99454563
 1.01282559 1.01254787 0.99273253 0.99571941 0.99974197 1.00601827
 0.99970425 0.98355784 1.01588829 0.99547964]","[0.00204058 0.00227267 0.0029192  0.00302834 0.0038503  0.00451697
 0.00542654 0.00544448 0.00666942 0.00776727 0.0083156  0.00944242
 0.01098125 0.01254469 0.01290402 0.01365111 0.0152143  0.01615545
 0.01738075 0.01913508 0.0181129  0.02083419 0.02052047 0.02443972
 0.02302735 0.0238328  0.02742818 0.0298017 ]","[13195.63983549 11852.12047263 10767.97031729  9841.21613345
  8992.44591377  8293.1542671   7586.42491104  6945.64133384
  6194.90430451  5441.9909906   4648.62387789  3978.73509416
  3456.17825896  3032.71905565  2728.84905164  2455.51580429
  2229.07852089  2032.73600074  1885.70715616  1700.05104974
  1487.50905437  1325.77967462  1184.4115715   1064.2742893
   949.47485296   845.18815329   796.24621872   716.0807783 ]","[94.35965278 65.29957927 65.52704738 58.09801789 56.0459271  50.0811768
 61.15072759 59.5663748  56.74991478 54.27300797 49.85699949 46.52909178
 42.29258654 41.22959638 38.48029416 36.67967658 34.05053184 35.71159774
 32.15178959 32.86235649 30.351289   29.43103551 24.75991728 26.24513551
 24.29219672 20.55343157 22.4159785  26.69632298]"
